cluster	broad_cell_type	fine_cell_type	confidence	main_positive_markers	negative_markers_checked	audit_top_marker_set	top_immune_marker_set	top_immune_mean_marker_expression	top_immune_pct_cells_with_any_marker	immune_review_flag	notes
0	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.132896659517024	0.219575856443719	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
1	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.106347570121553	0.173592746505478	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
10	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.00410166844873839	0.0183606557377049	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
11	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0740018500587491	0.267411865864144	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
12	Fibroblast_stromal	Fibroblast_stromal	medium_high	DCN,LUM,COL1A1,COL1A2	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Fibroblast_stromal	Macrophage_myeloid	0.0486016061758828	0.1396484375	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
13	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0161149421688791	0.0819009100101112	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
14	Endothelial	Endothelial	medium_high	PECAM1,VWF,KDR,EMCN	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Endothelial	Macrophage_myeloid	0.0673850858044078	0.23838630806846	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
15	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Mast_cell	0.215446308541299	0.418461538461538	immune_marker_signal_requires_manual_review	phase1_label_consistent_with_top_marker_set
16	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0427245957889247	0.168576104746318	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
17	Injured_undifferentiated_epithelial	Injured_undifferentiated_epithelial	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0322873911018668	0.117647058823529	no_strong_cluster_level_immune_signal	marker_top_label_differs_from_phase1
18	Loop_of_Henle_TAL	Loop_of_Henle_TAL	medium_high	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Loop_of_Henle_TAL	Macrophage_myeloid	0.0624350241958181	0.216666666666667	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
19	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.00838064187172322	0.0351851851851852	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
2	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0703848043991576	0.268508037129273	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
20	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0798219962052242	0.389925373134328	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
21	Fibroblast_stromal	Fibroblast_stromal	medium_high	DCN,LUM,COL1A1,COL1A2	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Fibroblast_stromal	Macrophage_myeloid	0.0353427435084239	0.164926931106472	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
22	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	T_cell	0.569498382909793	0.596371882086168	immune_marker_signal_requires_manual_review	phase1_label_consistent_with_top_marker_set
23	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0464320442132266	0.153623188405797	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
24	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0671949224959304	0.345833333333333	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
25	Injured_undifferentiated_epithelial	Injured_undifferentiated_epithelial	medium_high	KRT8,KRT18,PROM1,HAVCR1,VCAM1	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Injured_undifferentiated_epithelial	Macrophage_myeloid	0.0263326277122315	0.16969696969697	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
26	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.352087274862505	0.711538461538462	immune_marker_signal_requires_manual_review	phase1_label_consistent_with_top_marker_set
27	Pericyte_smooth_muscle	Pericyte_smooth_muscle	medium_high	RGS5,ACTA2,TAGLN,MYH11,PDGFRB,CSPG4,MCAM	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Pericyte_smooth_muscle	Macrophage_myeloid	0.0361509095335496	0.148648648648649	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
3	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0124469349254609	0.0328922495274102	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
4	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.0723088777278539	0.257687310524036	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
5	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	PECAM1,VWF,DCN,COL1A1,LST1,C1QA,CD3D,TRAC,TPSAB1,KIT	Collecting_duct_principal	Macrophage_myeloid	0.00706476305817461	0.0352885073915117	no_strong_cluster_level_immune_signal	phase1_label_consistent_with_top_marker_set
