cluster	broad_cell_type	fine_cell_type	annotation_confidence	main_positive_markers	immune_review_flag	mural_review_flag	n_cluster_cells	n_celltype_donors	n_celltype_cells	phase1_cell_type	top_marker_set	top_immune_marker_set	top_immune_mean_marker_expression	top_immune_pct_cells_with_any_marker	notes
0	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	9195	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.132896659517024	0.219575856443719	phase1_label_consistent_with_top_marker_set
1	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	5294	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.106347570121553	0.173592746505478	phase1_label_consistent_with_top_marker_set
2	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	4417	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.0703848043991576	0.268508037129273	phase1_label_consistent_with_top_marker_set
3	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	2645	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.0124469349254609	0.0328922495274102	phase1_label_consistent_with_top_marker_set
4	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	2309	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.0723088777278539	0.257687310524036	phase1_label_consistent_with_top_marker_set
5	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	2097	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.00706476305817461	0.0352885073915117	phase1_label_consistent_with_top_marker_set
6	Fibroblast_stromal	Fibroblast_stromal	medium_high	DCN,LUM,COL1A1,COL1A2	FALSE	FALSE	1919	4	3422	Fibroblast_stromal	Fibroblast_stromal	Macrophage_myeloid	0.112171336708657	0.301719645648775	phase1_label_consistent_with_top_marker_set
7	Endothelial	Endothelial	medium_high	PECAM1,VWF,KDR,EMCN	FALSE	FALSE	1740	4	2558	Endothelial	Endothelial	Macrophage_myeloid	0.0412576628212427	0.125862068965517	phase1_label_consistent_with_top_marker_set
8	Collecting_duct_principal	Collecting_duct_principal	review	AQP2,AQP3,SCNN1G	TRUE	FALSE	1696	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.443441729949242	0.623820754716981	Primary label retained, but immune marker signal requires manual review.
9	Injured_undifferentiated_epithelial	Injured_undifferentiated_epithelial	medium_high	KRT8,KRT18,PROM1,HAVCR1,VCAM1	FALSE	FALSE	1601	4	2361	Injured_undifferentiated_epithelial	Injured_undifferentiated_epithelial	Macrophage_myeloid	0.108988678237387	0.156152404747033	phase1_label_consistent_with_top_marker_set
10	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	1525	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.00410166844873839	0.0183606557377049	phase1_label_consistent_with_top_marker_set
11	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	1163	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.0740018500587491	0.267411865864144	phase1_label_consistent_with_top_marker_set
12	Fibroblast_stromal	Fibroblast_stromal	medium_high	DCN,LUM,COL1A1,COL1A2	FALSE	FALSE	1024	4	3422	Fibroblast_stromal	Fibroblast_stromal	Macrophage_myeloid	0.0486016061758828	0.1396484375	phase1_label_consistent_with_top_marker_set
13	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	989	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.0161149421688791	0.0819009100101112	phase1_label_consistent_with_top_marker_set
14	Endothelial	Endothelial	medium_high	PECAM1,VWF,KDR,EMCN	FALSE	FALSE	818	4	2558	Endothelial	Endothelial	Macrophage_myeloid	0.0673850858044078	0.23838630806846	phase1_label_consistent_with_top_marker_set
15	Collecting_duct_principal	Collecting_duct_principal	review	AQP2,AQP3,SCNN1G	TRUE	FALSE	650	4	34849	Collecting_duct_principal	Collecting_duct_principal	Mast_cell	0.215446308541299	0.418461538461538	Primary label retained, but immune marker signal requires manual review.
16	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	611	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.0427245957889247	0.168576104746318	phase1_label_consistent_with_top_marker_set
17	Injured_undifferentiated_epithelial	Injured_undifferentiated_epithelial	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	595	4	2361	Injured_undifferentiated_epithelial	Collecting_duct_principal	Macrophage_myeloid	0.0322873911018668	0.117647058823529	marker_top_label_differs_from_phase1
18	Loop_of_Henle_TAL	Loop_of_Henle_TAL	high	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	FALSE	FALSE	540	4	540	Loop_of_Henle_TAL	Loop_of_Henle_TAL	Macrophage_myeloid	0.0624350241958181	0.216666666666667	phase1_label_consistent_with_top_marker_set
19	Collecting_duct_principal	Collecting_duct_principal	medium_high	AQP2,AQP3,SCNN1G	FALSE	FALSE	540	4	34849	Collecting_duct_principal	Collecting_duct_principal	Macrophage_myeloid	0.00838064187172322	0.0351851851851852	phase1_label_consistent_with_top_marker_set
