item	value	source_file	status	notes
raw_rows	5960489.0	results/tables/phase1_gwas_qc_report.tsv	confirmed	
qc_pass_rows	4915033	phase1_gwas_qc_report.tsv/manuscript	confirmed_from_manuscript_if_not_in_table	
genome_build	GRCh37/hg19-compatible	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
variant_id_format	rsID/SNP with CHR/BP	phase1_2025_lead_snps.tsv	confirmed	
allowed_alleles	A/C/G/T biallelic	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
ambiguous_snp_removed	yes	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
maf_threshold	0.01	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
info_threshold	NA_not_found	NA_not_found	NA_not_found	
missing_p_removed	0.0	results/tables/phase1_gwas_qc_report.tsv	confirmed	
indels_removed	implicit_by_A/C/G/T_filter	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
duplicate_variants_removed	dedup input present	data/processed/magma_input/ksd_2025.dedup.pval	confirmed_file_present	
final_variants_for_magma	4915033	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
lead_snp_threshold	5e-8	phase1_2025_lead_snps.tsv/manuscript	inferred_from_genome_wide_significant_leads	
distance_pruning_window	+/-1 Mb	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
locus_merge_rule	overlapping lead windows merged	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
number_of_reconstructed_loci	57	results/tables/phase1_2025_loci.tsv	confirmed	
reference_ld_panel	external/reference/1000G_EUR/g1000_eur	results/tables/magma_qc_summary.tsv	confirmed	
reference_ld_population	1000 Genomes European/EUR	results/tables/magma_qc_summary.tsv	confirmed	
magma_version	MAGMA version: v1.10 (custom)	results/tables/magma_qc_summary.tsv	confirmed	
gene_location_file	external/reference/gene_loc/NCBI37.3.gene.loc	results/tables/magma_qc_summary.tsv	confirmed	
number_of_gene_locations_read	19427	manuscript_v1.4_clean_working.md	confirmed_from_manuscript	
number_of_genes_tested	17316	results/tables/magma_genes.tsv	confirmed	
bonferroni_gene_threshold	2.8875e-06	results/tables/magma_genes.tsv	computed	
n_bonferroni_genes	94	results/tables/magma_genes.tsv	confirmed	
n_fdr_genes	369	results/tables/magma_genes.tsv	confirmed	
n_suggestive_genes	187	results/tables/magma_genes.tsv	confirmed	
