gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
RGS14	-13.2802219390869	3.01499226997261e-40	1.79783989058466e-36	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
PTGER1	-8.91340255737305	4.94899001527058e-19	1.47554137305292e-15	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
GNAZ	-8.49519538879395	1.97600221482404e-17	3.92763373566525e-14	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
ZCRB1	-6.3144063949585	2.71200410766744e-10	4.04292012350524e-07	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
FBXL20	-5.54355001449585	2.96399959833269e-08	3.53486592097157e-05	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
CRHR1	5.39417266845703	6.88399959882433e-08	6.84154826796491e-05	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
MED1	5.33308410489403	9.65585605334163e-08	8.22540994943945e-05	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	stronger_proxy_support	proxy only
ITIH3	-5.21371078491211	1.85099981717257e-07	0.0001379688988725	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
C6orf48	5.17111587524414	2.3270020716867e-07	0.000154176815038531	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	weak_one_snp_proxy	proxy only
TBX2	-5.096604347229	3.45799993037505e-07	0.000206200535848264	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
GNL3	-5.06116628646851	4.16699580898785e-07	0.000225889054627223	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
DNAJB11	-4.94229078292847	7.7209942023165e-07	0.000383669070236777	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
TRIOBP	-4.87447166442871	1.09100042953627e-06	0.000500433504717289	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
MAPT	-4.57730722427368	4.70999488646574e-06	0.00200612139342823	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
HLF	4.46931648254395	7.84699520244363e-06	0.00311944215947809	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
USP40	4.42453575134277	9.66498979461654e-06	0.00360202088408115	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
NEK4	-4.40476226806641	1.05899949073887e-05	0.00371459644898581	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
SIK2	-4.29831695556641	1.7209994283531e-05	0.00570128866181641	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
F12	4.27703380584717	1.89400049684174e-05	0.00594417103298279	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
ZNF468	-4.26123523712158	2.03300103612132e-05	0.00606139258919571	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
SLC41A1	4.24255563690783	2.20988731299287e-05	0.00627502764160785	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	stronger_proxy_support	proxy only
RP11-298J23.10	4.21838519494118	2.46058201743914e-05	0.00666929571363165	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	stronger_proxy_support	proxy only
SF3B1	4.13413095474243	3.56300280635931e-05	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
SYT14	4.13406658172607	3.56400149428884e-05	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
DDAH2	4.12558078765869	3.6980033876833e-05	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	weak_one_snp_proxy	proxy only
