module_name	donor_id	sample_id	disease_status	broad_compartment	n_nuclei	n_genes_detected	mean_module_score	median_module_score	sd_module_score	sem_module_score	detection_fraction_mean	low_cell_count_flag	notes
Curated_exemplar_panel	GSM7290910	GSM7290910	healthy_control	Collecting_duct_principal	6318	6	0.209562421903022	0	0.274001878891962	0.00344717816424263	0.103461010868418	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290910	GSM7290910	healthy_control	Endothelial	271	6	0.246148883207348	0.226301652762802	0.216390684707867	0.0131447979732558	0.181426814268143	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290910	GSM7290910	healthy_control	Fibroblast_stromal	902	6	0.290457193485857	0.290459597978987	0.251881809450541	0.0083867468786351	0.192535107169254	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290910	GSM7290910	healthy_control	Injured_undifferentiated_epithelial	566	6	0.412713269261861	0.438681366116375	0.281296128961173	0.0118237582116815	0.273557126030624	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290910	GSM7290910	healthy_control	Loop_of_Henle_TAL	29	6	1.20170576817712	1.21348360816903	0.380633233648548	0.0706818170437919	0.752873563218391	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290910	GSM7290910	healthy_control	Pericyte_smooth_muscle	113	6	0.320197316958398	0.30732006992551	0.208562434919294	0.0196199034889476	0.227138643067847	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290912	GSM7290912	healthy_control	Collecting_duct_principal	16248	6	0.223351295941796	0.189530411598743	0.242899113075663	0.0019055746811383	0.144120301985885	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290912	GSM7290912	healthy_control	Endothelial	810	6	0.2496815831416	0.24804242349945	0.212037225642032	0.00745022868635424	0.183127572016461	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290912	GSM7290912	healthy_control	Fibroblast_stromal	1733	6	0.269456723207243	0.261565368486048	0.242841019635748	0.00583341355348115	0.178111175226005	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290912	GSM7290912	healthy_control	Injured_undifferentiated_epithelial	55	6	0.350423537633782	0.357933665697496	0.343805549340021	0.0463587308158283	0.160606060606061	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290912	GSM7290912	healthy_control	Loop_of_Henle_TAL	244	6	1.05353712658676	1.02853124735479	0.393057791881807	0.0251629466529301	0.628415300546448	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290912	GSM7290912	healthy_control	Pericyte_smooth_muscle	14	6	0.388047338296157	0.320127355325676	0.346445053972741	0.0925913353791715	0.226190476190476	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290913	GSM7290913	stone_disease	Collecting_duct_principal	1385	6	0.35559884412088	0.349240381194422	0.274272834071607	0.00736983742134732	0.263176895306859	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290913	GSM7290913	stone_disease	Endothelial	305	6	0.283147599408386	0.263540828724135	0.213177045543161	0.0122064821191966	0.247540983606557	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290913	GSM7290913	stone_disease	Fibroblast_stromal	761	6	0.405685023109454	0.394707172716733	0.251987401426224	0.00913453616534704	0.297853701270258	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290913	GSM7290913	stone_disease	Injured_undifferentiated_epithelial	1727	6	0.364221679626057	0.423906211825723	0.335950495319656	0.00808405234516406	0.154796371356881	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
Curated_exemplar_panel	GSM7290913	GSM7290913	stone_disease	Loop_of_Henle_TAL	263	6	1.4206509436511	1.45319570789542	0.363954144606634	0.0224423739769203	0.757921419518378	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
