gene	reporting_group	curated_exemplar_flag	broad_compartment	mean_expression	detection_fraction	n_donors_detected	dominant_compartment	loop_tal_detection_fraction	loop_tal_mean_expression	notes
CASR	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.0822846163300818	0.0527705242618153	4	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.0839063122896524	0.0519937451133698	4	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.100184067149889	0.059614260666277	4	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.0832242498033168	0.0533672172808132	3	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.102838558654342	0.0648148148148148	3	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.0798719425619993	0.0472972972972973	2	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.27903426316524	0.160004591236477	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.287138377804035	0.166145426114152	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.287447081009178	0.168907071887785	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.279737070732225	0.155019059720457	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.236366403444093	0.146296296296296	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.289792891670519	0.155405405405405	3	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.021256120433934	0.0182788602255445	4	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.0211388191527574	0.0203283815480844	4	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.0232084094850608	0.0184102863822326	4	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.0238677793190678	0.0207539178314274	3	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.0232851765459649	0.0222222222222222	2	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.0316478745439195	0.0202702702702703	2	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
HIBADH	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.344019415845976	0.245286808803696	4	Loop_of_Henle_TAL	0.272222222222222	0.408749295180532	descriptive single-gene expression summary; no gene-level causal inference
