gene	reporting_group	curated_exemplar_flag	broad_compartment	mean_expression	detection_fraction	n_donors_detected	dominant_compartment	loop_tal_detection_fraction	loop_tal_mean_expression	notes
ALPL	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.0124188893198371	0.00898160635886252	4	Loop_of_Henle_TAL	0.00925925925925926	0.0174362941004665	descriptive single-gene expression summary; no gene-level causal inference
ALPL	R1_MAGMA_Bonferroni_only	no	Endothelial	0.00659645449402483	0.00508209538702111	4	Loop_of_Henle_TAL	0.00925925925925926	0.0174362941004665	descriptive single-gene expression summary; no gene-level causal inference
ALPL	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.0124447105309988	0.00818234950321449	3	Loop_of_Henle_TAL	0.00925925925925926	0.0174362941004665	descriptive single-gene expression summary; no gene-level causal inference
ALPL	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.014046457392314	0.00931808555696739	2	Loop_of_Henle_TAL	0.00925925925925926	0.0174362941004665	descriptive single-gene expression summary; no gene-level causal inference
ALPL	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.0174362941004665	0.00925925925925926	3	Loop_of_Henle_TAL	0.00925925925925926	0.0174362941004665	descriptive single-gene expression summary; no gene-level causal inference
ALPL	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.0100954220181023	0.00675675675675676	1	Loop_of_Henle_TAL	0.00925925925925926	0.0174362941004665	descriptive single-gene expression summary; no gene-level causal inference
C19ORF48P	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal		0	0	not_detected	0	0	gene not present in Seurat rownames
C19ORF48P	R1_MAGMA_Bonferroni_only	no	Endothelial		0	0	not_detected	0	0	gene not present in Seurat rownames
C19ORF48P	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal		0	0	not_detected	0	0	gene not present in Seurat rownames
C19ORF48P	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial		0	0	not_detected	0	0	gene not present in Seurat rownames
C19ORF48P	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL		0	0	not_detected	0	0	gene not present in Seurat rownames
C19ORF48P	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle		0	0	not_detected	0	0	gene not present in Seurat rownames
CASR	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.0822846163300818	0.0527705242618153	4	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.0839063122896524	0.0519937451133698	4	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.100184067149889	0.059614260666277	4	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.0832242498033168	0.0533672172808132	3	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.102838558654342	0.0648148148148148	3	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CASR	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.0798719425619993	0.0472972972972973	2	Loop_of_Henle_TAL	0.0648148148148148	0.102838558654342	descriptive single-gene expression summary; no gene-level causal inference
CDK12	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.270508212055955	0.219088065654682	4	Pericyte_smooth_muscle	0.233333333333333	0.293957687562058	descriptive single-gene expression summary; no gene-level causal inference
CDK12	R1_MAGMA_Bonferroni_only	no	Endothelial	0.258112905914515	0.211102423768569	4	Pericyte_smooth_muscle	0.233333333333333	0.293957687562058	descriptive single-gene expression summary; no gene-level causal inference
CDK12	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.280050284757867	0.222092343658679	4	Pericyte_smooth_muscle	0.233333333333333	0.293957687562058	descriptive single-gene expression summary; no gene-level causal inference
CDK12	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.269639678660713	0.20584498094028	4	Pericyte_smooth_muscle	0.233333333333333	0.293957687562058	descriptive single-gene expression summary; no gene-level causal inference
CDK12	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.293957687562058	0.233333333333333	4	Pericyte_smooth_muscle	0.233333333333333	0.293957687562058	descriptive single-gene expression summary; no gene-level causal inference
CDK12	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.311127519905962	0.222972972972973	3	Pericyte_smooth_muscle	0.233333333333333	0.293957687562058	descriptive single-gene expression summary; no gene-level causal inference
CHAF1B	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.0199945122001407	0.0174466986140205	4	Collecting_duct_principal	0.0148148148148148	0.0193642874942928	descriptive single-gene expression summary; no gene-level causal inference
CHAF1B	R1_MAGMA_Bonferroni_only	no	Endothelial	0.0120615971384083	0.0125097732603597	4	Collecting_duct_principal	0.0148148148148148	0.0193642874942928	descriptive single-gene expression summary; no gene-level causal inference
CHAF1B	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.0171907164667939	0.0149035651665693	4	Collecting_duct_principal	0.0148148148148148	0.0193642874942928	descriptive single-gene expression summary; no gene-level causal inference
CHAF1B	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.0175651435726483	0.0173655230834392	3	Collecting_duct_principal	0.0148148148148148	0.0193642874942928	descriptive single-gene expression summary; no gene-level causal inference
CHAF1B	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.0193642874942928	0.0148148148148148	3	Collecting_duct_principal	0.0148148148148148	0.0193642874942928	descriptive single-gene expression summary; no gene-level causal inference
CHAF1B	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.0182737784579942	0.0202702702702703	2	Collecting_duct_principal	0.0148148148148148	0.0193642874942928	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.27903426316524	0.160004591236477	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.287138377804035	0.166145426114152	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.287447081009178	0.168907071887785	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.279737070732225	0.155019059720457	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.236366403444093	0.146296296296296	4	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN10	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.289792891670519	0.155405405405405	3	Pericyte_smooth_muscle	0.146296296296296	0.236366403444093	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.021256120433934	0.0182788602255445	4	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.0211388191527574	0.0203283815480844	4	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.0232084094850608	0.0184102863822326	4	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.0238677793190678	0.0207539178314274	3	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.0232851765459649	0.0222222222222222	2	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.0316478745439195	0.0202702702702703	2	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Collecting_duct_principal	0.00043049521103884	0.000286952279835863	3	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Endothelial	0.00118360274069438	0.00117279124315872	2	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
