module_name	excluded_low_count_donors	remaining_donors	remaining_loop_tal_nuclei	loop_tal_rank_after_exclusion	support_change	interpretation	notes
Curated_exemplar_panel	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
MAGMA_FDR	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
MAGMA_suggestive	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
MAGMA_top100	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
MAGMA_top50	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
R1_MAGMA_Bonferroni_only	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1	not_evaluable	Module is too small for interpretable low-cell-count sensitivity; retain as descriptive only.	descriptive sensitivity excluding donors with Loop/TAL n < 20
R2_R3_MAGMA_plus_TWAS_proxy	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	4	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	4	strengthened	Loop/TAL rank improves after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
R4_MAGMA_lower_priority	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	2	unchanged	Loop/TAL rank is unchanged after excluding low Loop/TAL-count donors.	descriptive sensitivity excluding donors with Loop/TAL n < 20
R5_TWAS_proxy_only	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	4	not_evaluable	Module is too small for interpretable low-cell-count sensitivity; retain as descriptive only.	descriptive sensitivity excluding donors with Loop/TAL n < 20
