base_module	removal_type	removed_genes_requested	removed_genes_present	n_genes_remaining	loop_tal_rank_before	loop_tal_rank_after	n_donors_top_rank_before	n_donors_top_rank_after	median_loop_tal_percentile_before	median_loop_tal_percentile_after	support_retained	support_change	interpretation	notes
MAGMA_top100	without_UMOD	UMOD	UMOD	90	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_CLDN14	CLDN14	CLDN14	90	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_CASR	CASR	CASR	90	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_CLDN10	CLDN10	CLDN10	90	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_SLC12A1	SLC12A1	""	91	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_KCNJ1	KCNJ1	""	91	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_CLDN16	CLDN16	""	91	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_curated_exemplar_panel	UMOD;CASR;CLDN14;CLDN10;HIBADH;PKD2	UMOD;CASR;CLDN14;CLDN10;HIBADH;PKD2	85	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_TAL_marker_panel	UMOD;SLC12A1;CLDN10;KCNJ1;CLDN16	UMOD;CLDN10	89	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_calcium_ion_panel	CASR;CLDN14;CLDN10;PKD2	CASR;CLDN14;CLDN10;PKD2	87	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_top5_contributors	PLCL1;CASR;UMOD;KANSL1;HIBADH	PLCL1;CASR;UMOD;KANSL1;HIBADH	86	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top100	without_top10_contributors	PLCL1;CASR;UMOD;KANSL1;HIBADH;VPS13B;PKD2;UGT8;CLDN10;SHLD2	PLCL1;CASR;UMOD;KANSL1;HIBADH;VPS13B;PKD2;UGT8;CLDN10;SHLD2	81	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_UMOD	UMOD	UMOD	45	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_CLDN14	CLDN14	CLDN14	45	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_CASR	CASR	CASR	45	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_CLDN10	CLDN10	CLDN10	45	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_SLC12A1	SLC12A1	""	46	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_KCNJ1	KCNJ1	""	46	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_CLDN16	CLDN16	""	46	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_curated_exemplar_panel	UMOD;CASR;CLDN14;CLDN10;HIBADH;PKD2	UMOD;CASR;CLDN14;CLDN10;HIBADH;PKD2	40	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_TAL_marker_panel	UMOD;SLC12A1;CLDN10;KCNJ1;CLDN16	UMOD;CLDN10	44	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_calcium_ion_panel	CASR;CLDN14;CLDN10;PKD2	CASR;CLDN14;CLDN10;PKD2	42	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_top5_contributors	CASR;UMOD;KANSL1;HIBADH;PKD2	CASR;UMOD;KANSL1;HIBADH;PKD2	41	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
MAGMA_top50	without_top10_contributors	CASR;UMOD;KANSL1;HIBADH;PKD2;UGT8;CLDN10;SHROOM3;FBXL20;MRPL33	CASR;UMOD;KANSL1;HIBADH;PKD2;UGT8;CLDN10;SHROOM3;FBXL20;MRPL33	36	1	1.25	4	3	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_UMOD	UMOD	UMOD	69	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_CLDN14	CLDN14	CLDN14	69	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_CASR	CASR	CASR	69	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_CLDN10	CLDN10	CLDN10	69	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_SLC12A1	SLC12A1	""	70	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_KCNJ1	KCNJ1	""	70	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_CLDN16	CLDN16	""	70	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_curated_exemplar_panel	UMOD;CASR;CLDN14;CLDN10;HIBADH;PKD2	UMOD;CASR;CLDN14;CLDN10;HIBADH;PKD2	64	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_TAL_marker_panel	UMOD;SLC12A1;CLDN10;KCNJ1;CLDN16	UMOD;CLDN10	68	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_calcium_ion_panel	CASR;CLDN14;CLDN10;PKD2	CASR;CLDN14;CLDN10;PKD2	66	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_top5_contributors	PLCL1;CASR;UMOD;KANSL1;HIBADH	PLCL1;CASR;UMOD;KANSL1;HIBADH	65	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_MAGMA_Bonferroni_only	without_top10_contributors	PLCL1;CASR;UMOD;KANSL1;HIBADH;VPS13B;PKD2;UGT8;CLDN10;SHLD2	PLCL1;CASR;UMOD;KANSL1;HIBADH;VPS13B;PKD2;UGT8;CLDN10;SHLD2	60	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_R2_R3_all_MAGMA_Bonferroni	without_UMOD	UMOD	UMOD	83	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_R2_R3_all_MAGMA_Bonferroni	without_CLDN14	CLDN14	CLDN14	83	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_R2_R3_all_MAGMA_Bonferroni	without_CASR	CASR	CASR	83	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
R1_R2_R3_all_MAGMA_Bonferroni	without_CLDN10	CLDN10	CLDN10	83	1	1	4	4	100	100	yes	unchanged	robust_to_driver_removal	Driver-removal sensitivity is descriptive and based on donor x compartment module ranks.
