module_name	module_role	n_genes_input	n_genes_detected	stage4B1_support_summary	stage4B2_required_tests	interpretation_priority	notes	module_status
Curated_exemplar_panel	secondary_supporting	6	6	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	supporting	Stage 4B2 robustness module priority.	primary_ready
MAGMA_FDR	legacy_comparison	366	341	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	supporting	Stage 4B2 robustness module priority.	primary_ready
MAGMA_suggestive	legacy_comparison	186	172	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	supporting	Stage 4B2 robustness module priority.	primary_ready
MAGMA_top100	primary_main_claim	100	91	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	main	Stage 4B2 robustness module priority.	primary_ready
MAGMA_top50	primary_main_claim	50	46	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	main	Stage 4B2 robustness module priority.	primary_ready
R1_MAGMA_Bonferroni_only	primary_main_claim	79	70	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	main	Stage 4B2 robustness module priority.	primary_ready
R1_R2_R3_all_MAGMA_Bonferroni	primary_main_claim	93	84	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	main	Stage 4B2 robustness module priority.	primary_ready
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	small_module_not_for_main_claim	1	1	insufficient_data	flag_only_no_main_benchmark	not_for_main_claim	Small module; do not use for strong Loop/TAL claim.	small_module_interpret_cautiously
R2_R3_MAGMA_plus_TWAS_proxy	proxy_TWAS_caution	14	14	weak_or_inconsistent_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	caution	Stage 4B2 robustness module priority.	primary_ready
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	proxy_TWAS_caution	13	13	weak_or_inconsistent_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	caution	Stage 4B2 robustness module priority.	primary_ready
R4_MAGMA_lower_priority	secondary_supporting	33	33	strong_descriptive_support	matched_random_benchmark;known_driver_removal_if_primary_or_claim_relevant	supporting	Stage 4B2 robustness module priority.	primary_ready
R5_TWAS_proxy_only	small_module_not_for_main_claim	4	1	insufficient_data	flag_only_no_main_benchmark	not_for_main_claim	Small module; do not use for strong Loop/TAL claim.	small_module_interpret_cautiously
