module_name	module_role	model_type	n_samples	n_patients	effect_estimate	standard_error	test_statistic	p_value	fdr	effect_direction	model_status	interpretation	notes
R1_MAGMA_Bonferroni_only	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.177026685507256	0.078334081028549	2.25989356334873	0.0327923422305686	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
R1_R2_R3_all_MAGMA_Bonferroni	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.17383884561453	0.075603181601083	2.29935886206196	0.0301153078375514	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
MAGMA_top50	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.181638440598484	0.0817920039035322	2.22073591463431	0.035660286299055	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
MAGMA_top100	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.168482820166528	0.0739875317005377	2.27717855014352	0.0315943027916656	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	secondary_TWAS_proxy_module	paired_patient_fixed_effect_lm	52	26	0.295514691513726	0.149088557048141	1.98214200583016	0.0585577556150102	0.0626410201465093	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	secondary_TWAS_proxy_module	paired_patient_fixed_effect_lm	52	26	0.147834375104333	0.0758638392044593	1.94868038125394	0.0626410201465093	0.0626410201465093	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
R2_R3_MAGMA_plus_TWAS_proxy	secondary_TWAS_proxy_module	paired_patient_fixed_effect_lm	52	26	0.158382969133575	0.0785535649361065	2.01624164686097	0.0546396384064574	0.0626410201465093	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
R5_TWAS_proxy_only	secondary_TWAS_proxy_module	paired_patient_fixed_effect_lm	52	26	0.300338725909071	0.145028740519671	2.07089108567647	0.0488429156666059	0.0626410201465093	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
Curated_exemplar_panel	curated_exemplar_context	paired_patient_fixed_effect_lm	52	26	0.190122839228278	0.163535114760567	1.16258113437373	0.255977619873487	0.255977619873487	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
epithelial_general	composition_signature	paired_patient_fixed_effect_lm	52	26	0.282676081755392	0.134601143398143	2.1001016382101	0.045974570168402	0.45974570168402	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
LoopTAL	composition_signature	paired_patient_fixed_effect_lm	52	26	0.0033065281962801	0.173259963425781	0.0190842023217702	0.984925432220437	0.984925432220437	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
proximal_tubule	composition_signature	paired_patient_fixed_effect_lm	52	26	-0.0254151544767765	0.0870443444031426	-0.291979388793684	0.772711655374786	0.965889569218483	decrease	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
