correlation_level	module_name	signature_name	n_observations	spearman_r	spearman_p	pearson_r	pearson_p	fdr	interpretation	notes
sample_level	MAGMA_top100	B_cell	55	0.725108225108225	3.8362694286655e-10	0.689607608181025	5.79157008287681e-09	8.31191709544191e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	ECM_fibrosis	55	0.778138528138528	2.73494754534697e-12	0.809800254799949	7.10553937793216e-14	1.42217272358042e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	LoopTAL	55	0.703463203463203	2.10466897671284e-09	0.66336741134997	3.40629671473524e-08	3.37079912126559e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	T_cell	55	0.623088023088023	3.76655191215257e-07	0.617874870234448	5.01596095822663e-07	4.25784129199856e-07	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	collecting_duct	55	0.679365079365079	1.18167599051516e-08	0.682370527750679	9.61414947631738e-09	1.62500971509852e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	endothelial	55	0.823809523809524	1.1291532376106e-14	0.8379148628354	1.49307183045021e-15	2.1389430418476e-13	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	epithelial_general	55	0.566666666666667	6.48210129827345e-06	0.571127176050922	5.27567916538761e-06	6.8789646430657e-06	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	fibroblast_stromal	55	0.801875901875902	1.88326609426904e-13	0.815272819962513	3.52839950104641e-14	1.6321639483665e-12	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	immune_myeloid	55	0.723448773448773	4.39572805157161e-10	0.732579530578315	2.05280990436921e-10	9.14311434726894e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	injury_epithelial	55	0.772943722943723	4.70313614196729e-12	0.80184759475591	1.88968580013006e-13	1.52851924613937e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	mineralization_remodeling	55	0.772077922077922	5.14074488200899e-12	0.777763283978406	2.8455517242123e-12	1.56393315313413e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	pericyte_smooth_muscle	55	0.716594516594517	7.63482778255545e-10	0.733492894639666	1.89903115616049e-10	1.36900360238925e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top100	proximal_tubule	55	0.645959595959596	1.00492126996509e-07	0.630952187468822	2.42048676686323e-07	1.21525362879499e-07	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	B_cell	55	0.701803751803752	2.38313141157344e-09	0.659586070356661	4.33452896436111e-08	3.64478921770055e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	ECM_fibrosis	55	0.715440115440115	8.36556087234472e-10	0.743020982329477	8.26734210459547e-11	1.45003055120642e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	LoopTAL	55	0.775252525252525	3.70270211185551e-12	0.739756967047663	1.10368761042586e-10	1.4279206671432e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	T_cell	55	0.584199134199134	2.83456298889874e-06	0.582673220501141	3.05199953274335e-06	3.07077657130697e-06	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	collecting_duct	55	0.679292929292929	1.18750709949507e-08	0.68815414978206	6.41962634545441e-09	1.62500971509852e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	endothelial	55	0.773376623376623	4.49784794617752e-12	0.801129221067177	2.05975988297614e-13	1.52851924613937e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	epithelial_general	55	0.548051948051948	1.4834741868455e-05	0.564347840206559	7.20606657650401e-06	1.51256191599933e-05	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	fibroblast_stromal	55	0.740836940836941	1.00353963416283e-10	0.753551407567099	3.15796428171454e-11	2.60920304882336e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	immune_myeloid	55	0.696753246753247	3.46062844702388e-09	0.718697321742538	6.4563686793302e-10	5.14150512129263e-09	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	injury_epithelial	55	0.765512265512266	9.9688138157891e-12	0.796886634624471	3.40248068937885e-13	2.72830693905807e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	mineralization_remodeling	55	0.776911976911977	3.1124636542593e-12	0.795753657992026	3.88274850873874e-13	1.4279206671432e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	pericyte_smooth_muscle	55	0.6495670995671	8.07657366917466e-08	0.658659284461543	4.59587376833039e-08	9.99956739993054e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	MAGMA_top50	proximal_tubule	55	0.661832611832612	3.75786802651779e-08	0.666364792751906	2.80709375305565e-08	4.88522843447313e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	B_cell	55	0.727128427128427	3.24605902498477e-10	0.688797037874375	6.1342872537245e-09	7.33891605648731e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	ECM_fibrosis	55	0.778643578643579	2.59252462065802e-12	0.804910286554521	1.30345679613302e-13	1.42217272358042e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	LoopTAL	55	0.73008658008658	2.53486222015867e-10	0.69316171562371	4.49120108287745e-09	5.99149252037504e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	T_cell	55	0.626334776334776	3.14271088161503e-07	0.617452405652954	5.13259900396228e-07	3.63157701875514e-07	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
