module_name	module_role	n_paired_patients	median_delta	mean_delta	sd_delta	n_positive_delta	n_negative_delta	direction_consistency_fraction	wilcoxon_p	paired_t_p	fdr_within_module_family	effect_direction	interpretation	notes
B_cell	composition_signature	26	0.0223484945776516	0.0564323006156121	0.486441092722662	15	11	0.576923076923077	0.431084443013081	0.559470164194642	0.615834918590116	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
Curated_exemplar_panel	curated_exemplar_context	26	0.0667656577834214	0.190122839228278	0.833868741321768	14	12	0.538461538461538	0.263775899227939	0.255977619873486	0.263775899227939	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
ECM_fibrosis	injury_or_remodeling_signature	26	0.0226462727364963	0.128370163297085	0.733576655322131	14	12	0.538461538461538	0.576328596521652	0.380746884853309	0.576328596521652	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
LoopTAL	composition_signature	26	-0.135136256387829	0.00330652819627996	0.883455934432427	11	15	0.576923076923077	0.979737524502568	0.984925432220438	0.979737524502568	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
MAGMA_top100	primary_MAGMA_module	26	0.151652198907665	0.168482820166528	0.377263867903607	19	7	0.730769230769231	0.0169675630125841	0.0315943027916658	0.0226234173501121	increase	directionally_consistent_increase	Stage 5B1 paired delta summary; bulk disease-context only.
MAGMA_top50	primary_MAGMA_module	26	0.18763652428889	0.181638440598484	0.417059023959968	19	7	0.730769230769231	0.0237951978690964	0.035660286299055	0.0237951978690964	increase	directionally_consistent_increase	Stage 5B1 paired delta summary; bulk disease-context only.
R1_MAGMA_Bonferroni_only	primary_MAGMA_module	26	0.123817380083335	0.177026685507256	0.39942700774393	20	6	0.769230769230769	0.0137548063929785	0.0327923422305685	0.0226234173501121	increase	directionally_consistent_increase	Stage 5B1 paired delta summary; bulk disease-context only.
R1_R2_R3_all_MAGMA_Bonferroni	primary_MAGMA_module	26	0.147691984875571	0.17383884561453	0.385502098273621	20	6	0.769230769230769	0.0137548063929785	0.0301153078375512	0.0226234173501121	increase	directionally_consistent_increase	Stage 5B1 paired delta summary; bulk disease-context only.
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	secondary_TWAS_proxy_module	26	0.260886504044098	0.295514691513726	0.760205461641861	16	10	0.615384615384615	0.0796946681137101	0.0585577556150103	0.106259557484947	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
R2_R3_MAGMA_plus_TWAS_proxy	secondary_TWAS_proxy_module	26	0.203930652329257	0.158382969133576	0.400546160471485	18	8	0.692307692307692	0.0637316723005716	0.0546396384064573	0.106259557484947	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	secondary_TWAS_proxy_module	26	0.184483253583635	0.147834375104333	0.386831196479603	18	8	0.692307692307692	0.050507076485671	0.0626410201465092	0.106259557484947	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
R5_TWAS_proxy_only	secondary_TWAS_proxy_module	26	0.123452037780953	0.300338725909071	0.739504377941585	15	11	0.576923076923077	0.115331575924872	0.0488429156666058	0.115331575924872	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
T_cell	composition_signature	26	-0.121020057640779	-0.0144722974053833	0.687745915990843	9	17	0.653846153846154	0.431084443013081	0.915408147394743	0.615834918590116	decrease	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
collecting_duct	composition_signature	26	0.166351426964634	0.171158981092195	0.673709256116524	15	11	0.576923076923077	0.297728418004512	0.207006708745585	0.615834918590116	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
endothelial	composition_signature	26	0.10850520850205	0.178350727473945	0.789427267115336	15	11	0.576923076923077	0.309667917232871	0.260222105471237	0.615834918590116	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
epithelial_general	composition_signature	26	0.346353364495414	0.282676081755392	0.68633385673903	17	9	0.653846153846154	0.088818283271724	0.0459745701684015	0.606576196598918	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
fibroblast_stromal	composition_signature	26	-0.0479536756370136	0.114090440007273	0.842046549959387	13	13	0.5	0.5591170586332	0.496009114425766	0.64036510724628	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
immune_myeloid	composition_signature	26	0.0917956280740355	0.184461524933773	0.633137185153974	16	10	0.615384615384615	0.121315239319784	0.149893737709767	0.606576196598918	increase	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
injury_epithelial	injury_or_remodeling_signature	26	0.381568710708329	0.341481518760449	0.549251980311748	20	6	0.769230769230769	0.00378712571418864	0.0039974182438967	0.00568068857128296	increase	directionally_consistent_increase	Stage 5B1 paired delta summary; bulk disease-context only.
mineralization_remodeling	injury_or_remodeling_signature	26	0.345991247432213	0.334961267766971	0.509960606241621	20	6	0.769230769230769	0.0023055607542569	0.00257177993968782	0.00568068857128296	increase	directionally_consistent_increase	Stage 5B1 paired delta summary; bulk disease-context only.
pericyte_smooth_muscle	composition_signature	26	-0.125470359250221	-0.109409325116832	0.736827112156687	9	17	0.653846153846154	0.232593410890413	0.456044014600145	0.615834918590116	decrease	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
proximal_tubule	composition_signature	26	0.0597700986802538	-0.0254151544767767	0.443840810659515	15	11	0.576923076923077	0.576328596521652	0.772711655374785	0.64036510724628	decrease	mixed_or_weak	Stage 5B1 paired delta summary; bulk disease-context only.
