input_item	expected	found	status	file_path	notes
expression_matrix	exists/readable	TRUE	pass	data/processed/gse73680/gse73680_gene_expression_matrix.tsv.gz	""
metadata	exists/readable	TRUE	pass	config/gse73680_sample_metadata_curated.tsv	""
sample_id_overlap	>=55 included samples	55	pass	data/processed/gse73680/gse73680_gene_expression_matrix.tsv.gz	Overlap after include flag and primary label filtering.
included_samples_stage5A_count	55	55	pass	config/gse73680_sample_metadata_curated.tsv	""
primary_comparison_labels	control_or_adjacent;plaque_or_stone_papilla	control_or_adjacent;plaque_or_stone_papilla	pass	config/gse73680_sample_metadata_curated.tsv	""
patient_id_or_pair_id	patient_id	TRUE	pass	config/gse73680_sample_metadata_curated.tsv	""
paired_patients_recoverable	26	26	pass	config/gse73680_sample_metadata_curated.tsv	""
gene_symbols_available	>0 non-empty genes	32055	pass	data/processed/gse73680/gse73680_gene_expression_matrix.tsv.gz	""
stage3R_module_tables	readable	TRUE	pass	results/tables/revision/stage3R_gene_tiering/candidate_gene_evidence_model_v0.2.tsv	""
composition_signature_manifest	readable	TRUE	pass	results/tables/revision/stage5A_gse73680_audit/gse73680_composition_signature_manifest.tsv	""
