module_name	covariate_signature	n_paired_patients	intercept_estimate	intercept_p	covariate_beta	covariate_p	model_r2	module_delta_direction_after_adjustment	retained_direction_after_adjustment	adjustment_result	notes
R1_MAGMA_Bonferroni_only	epithelial_general	26	0.119865111494353	0.153442998405276	0.202215814150015	0.0819882390248094	0.120733064717917	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_MAGMA_Bonferroni_only	LoopTAL	26	0.176054557913815	0.00788605114940187	0.294002511315174	0.000322887879453585	0.422860395029963	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_MAGMA_Bonferroni_only	immune_myeloid	26	0.119102334583402	0.11269822384771	0.31401860601906	0.00966654594223051	0.2477602046726	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_MAGMA_Bonferroni_only	fibroblast_stromal	26	0.142001975811092	0.0299337504664872	0.306990749566137	0.000352368240694502	0.418839783410485	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_MAGMA_Bonferroni_only	endothelial	26	0.119576318578162	0.0709005314312652	0.322120171545058	0.00047097989005551	0.40530805572947	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_MAGMA_Bonferroni_only	injury_epithelial	26	-0.0226417269079493	0.691049840893644	0.584712206798147	7.48730018262852e-07	0.646476481597622	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_MAGMA_Bonferroni_only	ECM_fibrosis	26	0.138487474387977	0.0520725298350374	0.300219382210241	0.00350418385092807	0.304014014792955	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_MAGMA_Bonferroni_only	mineralization_remodeling	26	-0.0172141165836779	0.79241916603507	0.579890335935989	1.53125712956705e-05	0.548138296820454	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_R2_R3_all_MAGMA_Bonferroni	epithelial_general	26	0.10990563684227	0.164287132440868	0.226171271284222	0.0414012887121902	0.162140770334859	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_R2_R3_all_MAGMA_Bonferroni	LoopTAL	26	0.172976551753252	0.0100223673371187	0.260785273885953	0.00126374699066389	0.357176123908317	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
