signature_1	signature_2	paired_delta_spearman_r	paired_delta_spearman_p	sample_level_spearman_r	sample_level_spearman_p	collinearity_flag	notes
B_cell	ECM_fibrosis	0.394188034188034	0.0463010055874642	0.667893217893218	2.5412208251524e-08	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	LoopTAL	0.124102564102564	0.545829001462102	0.439105339105339	0.000797110835267318	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	T_cell	0.547350427350427	0.00380345193559982	0.802525252525253	1.74158171061884e-13	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	collecting_duct	-0.364786324786325	0.0669071795938297	0.248412698412698	0.0674378161453701	low	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	endothelial	0.13982905982906	0.495691589173014	0.654401154401154	5.9988535267436e-08	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	epithelial_general	-0.18017094017094	0.3784521584693	0.171717171717172	0.209996952777962	low	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	fibroblast_stromal	0.411965811965812	0.0365099114972796	0.635786435786436	1.83301016107656e-07	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	immune_myeloid	0.44957264957265	0.0212104062009998	0.725324675324675	3.76847911930902e-10	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	injury_epithelial	0.0755555555555555	0.713740741806223	0.485209235209235	0.000173649080829383	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	mineralization_remodeling	0.291623931623932	0.148316742627582	0.704906204906205	1.88781015214555e-09	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	pericyte_smooth_muscle	0.333333333333333	0.0960999071279003	0.603391053391053	1.08252158503076e-06	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
B_cell	proximal_tubule	-0.00512820512820513	0.980164342551688	0.589177489177489	2.2213738890199e-06	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	LoopTAL	-0.184957264957265	0.365699970827294	0.41002886002886	0.00187750222929944	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	T_cell	0.182222222222222	0.372955888879709	0.555627705627706	1.065494003725e-05	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	collecting_duct	-0.207521367521368	0.309037915466333	0.359090909090909	0.00709471108882462	low	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	endothelial	0.567179487179487	0.0025145777880174	0.812337662337662	5.15068884208764e-14	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	epithelial_general	0.10974358974359	0.593562817897892	0.334992784992785	0.0124191393312088	low	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	fibroblast_stromal	0.898119658119658	4.86431986608061e-10	0.964430014430014	2.67533596468485e-32	very_high_abs_r_ge_0.85	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	immune_myeloid	0.22051282051282	0.279032826042683	0.647474747474747	9.1711619753672e-08	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	injury_epithelial	0.222564102564103	0.274471029724674	0.604473304473305	1.02339667052158e-06	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	mineralization_remodeling	0.139145299145299	0.497822482800544	0.613419913419913	6.38109042014047e-07	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	pericyte_smooth_muscle	0.822905982905983	2.46562424415449e-07	0.927849927849928	2.32661137912607e-24	very_high_abs_r_ge_0.85	Signature-score correlations are redundancy diagnostics, not biology claims.
ECM_fibrosis	proximal_tubule	-0.193846153846154	0.342694089322361	0.444011544011544	0.000684590855038359	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	T_cell	0.149401709401709	0.466344498150348	0.404761904761905	0.00217533819818825	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	collecting_duct	0.245811965811966	0.226111633404411	0.423015873015873	0.00129257753331101	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
