covariate_set_name	covariates	covariate_type	intended_model	n_covariates	use_priority	notes
epithelial_general	epithelial_general	core_composition_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single marker-signature proxy; not cell fraction.
LoopTAL	LoopTAL	core_composition_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single marker-signature proxy; not cell fraction.
immune_myeloid	immune_myeloid	core_composition_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single marker-signature proxy; not cell fraction.
fibroblast_stromal	fibroblast_stromal	core_composition_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single marker-signature proxy; not cell fraction.
endothelial	endothelial	core_composition_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single marker-signature proxy; not cell fraction.
pericyte_smooth_muscle	pericyte_smooth_muscle	core_composition_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single marker-signature proxy; not cell fraction.
injury_epithelial	injury_epithelial	disease_remodeling_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single remodeling/injury proxy; not mechanism proof.
ECM_fibrosis	ECM_fibrosis	disease_remodeling_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single remodeling/injury proxy; not mechanism proof.
mineralization_remodeling	mineralization_remodeling	disease_remodeling_covariate	single_covariate_delta_and_patient_FE	1	primary_single_covariate	Single remodeling/injury proxy; not mechanism proof.
proximal_tubule	proximal_tubule	optional_renal_compartment_covariate	exploratory_single_covariate_delta	1	exploratory_only	Optional renal compartment proxy.
collecting_duct	collecting_duct	optional_renal_compartment_covariate	exploratory_single_covariate_delta	1	exploratory_only	Optional renal compartment proxy.
composition_core_set	epithelial_general;LoopTAL;immune_myeloid;fibroblast_stromal;endothelial;pericyte_smooth_muscle	compact_covariate_set	compact_delta_model	6	secondary_multi_covariate	Use cautiously with 26 pairs; skip if high collinearity.
injury_remodeling_set	injury_epithelial;ECM_fibrosis;mineralization_remodeling	compact_covariate_set	compact_delta_model	3	secondary_multi_covariate	Use cautiously with 26 pairs; skip if high collinearity.
composition_plus_injury_set	epithelial_general;LoopTAL;immune_myeloid;fibroblast_stromal;endothelial;pericyte_smooth_muscle;injury_epithelial;ECM_fibrosis;mineralization_remodeling	compact_covariate_set	compact_delta_model	9	exploratory_only	High overfit risk; likely skip or PCA-compress.
