module_name	context_signature	n_sections_evaluable	n_sections_positive_raw	n_sections_positive_residualized	median_spearman_raw	median_spearman_residualized	range_spearman_residualized	consistency_label	spatial_claim_allowed	notes
R1_MAGMA_Bonferroni_only	LoopTAL_signature	5	5	5	0.18638376197286	0.138901166018959	0.108 to 0.250	consistent_positive	papillary_tissue_context_projection	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_MAGMA_Bonferroni_only	injury_epithelial	5	4	0	0.135080622047042	-0.0145860226761218	-0.052 to 0.001	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_MAGMA_Bonferroni_only	ECM_fibrosis	5	3	0	0.106711902762177	-0.0292124900164613	-0.061 to 0.043	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_MAGMA_Bonferroni_only	mineralization_remodeling	5	2	0	0.0945558928723027	0.0303063663510252	-0.037 to 0.080	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_MAGMA_Bonferroni_only	epithelial_general	5	3	0	0.133851828488635	-0.0147458485558199	-0.103 to 0.048	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_MAGMA_Bonferroni_only	immune_myeloid	5	3	1	0.136082296490522	0.0511997245001384	-0.025 to 0.115	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_MAGMA_Bonferroni_only	endothelial	5	2	0	0.046320482656899	0.00426285597175083	-0.022 to 0.080	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_MAGMA_Bonferroni_only	fibroblast_stromal	5	3	0	0.121607077715047	-0.0361810199052674	-0.080 to 0.046	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	LoopTAL_signature	5	5	3	0.156110449991573	0.120129234565146	0.092 to 0.218	directionally_positive_but_attenuated	supplementary_spatial_codistribution	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	injury_epithelial	5	4	0	0.139363754047422	-0.0193509674416492	-0.060 to -0.013	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	ECM_fibrosis	5	3	0	0.109928704398505	-0.0235219167183978	-0.050 to 0.038	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	mineralization_remodeling	5	3	0	0.103810578564369	0.0176275266734721	-0.032 to 0.072	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	epithelial_general	5	4	0	0.155596168272574	-0.0062179897965693	-0.107 to 0.055	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	immune_myeloid	5	4	0	0.121407023209513	0.074645490320328	-0.040 to 0.098	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	endothelial	5	2	0	0.0451097999092862	-0.00460798197580128	-0.017 to 0.075	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
R1_R2_R3_all_MAGMA_Bonferroni	fibroblast_stromal	5	3	0	0.123577150788519	-0.0265868875493984	-0.077 to 0.036	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
MAGMA_top50	LoopTAL_signature	5	5	4	0.137958639794683	0.129007477252927	0.038 to 0.169	consistent_positive	papillary_tissue_context_projection	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
MAGMA_top50	injury_epithelial	5	3	0	0.11754737394902	-0.0189441821499448	-0.052 to 0.063	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
MAGMA_top50	ECM_fibrosis	5	1	0	0.0154586024292414	-0.0621072028980823	-0.097 to -0.045	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
MAGMA_top50	mineralization_remodeling	5	2	0	0.0940352424055985	0.0260991310602523	-0.086 to 0.071	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
MAGMA_top50	epithelial_general	5	5	1	0.161982132753117	0.0176465537092166	0.004 to 0.111	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
MAGMA_top50	immune_myeloid	5	0	0	0.0258810733275906	-0.0297899853505244	-0.140 to 0.012	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
MAGMA_top50	endothelial	5	0	0	0.0101953338031537	-0.018088813736995	-0.077 to 0.002	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.
