phase	source_workspace_path	repository_script_path	purpose	final_outputs	external_inputs_required	notes
Phase 1	scripts/01_gwas_qc/phase1_step4_gwas_qc_audit.py	scripts/phase1/phase1_step4_gwas_qc_audit.py	GWAS QC audit	Figure 1; Supplementary Figure S1	yes	Selected exact script; raw/public inputs are not bundled.
Phase 1	scripts/01_gwas_qc/phase1_step4_gwas_qc_plots.R	scripts/phase1/phase1_step4_gwas_qc_plots.R	GWAS QC plots	Figure 1; Supplementary Figure S1	yes	Selected exact script; raw/public inputs are not bundled.
Phase 1	scripts/02_locus_mapping/phase1_step4_reconstruct_leads_loci.py	scripts/phase1/phase1_step4_reconstruct_leads_loci.py	lead/locus reconstruction	Supplementary Table 1	yes	Selected exact script; raw/public inputs are not bundled.
Phase 1	scripts/03_magma_fuma/phase1_step3_freeze_magma_gene_sets.py	scripts/phase1/phase1_step3_freeze_magma_gene_sets.py	MAGMA gene-set freeze	Supplementary Figure S1; Supplementary Table 2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 1	scripts/03_magma_fuma/phase1_step5_magma_provenance_audit.py	scripts/phase1/phase1_step5_magma_provenance_audit.py	MAGMA provenance audit	Supplementary Table 2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 2	scripts/06_scrna_processing/phase2_step1_scrna_object_audit.R	scripts/phase2/phase2_step1_scrna_object_audit.R	snRNA input/object audit	Figure 2; Supplementary Table 3	yes	Selected exact script; raw/public inputs are not bundled.
Phase 2	scripts/06_scrna_processing/phase2_step2_scrna_module_scoring_and_qc.R	scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R	donor-level scoring and QC	Figure 2; Supplementary Table 3	yes	Selected exact script; raw/public inputs are not bundled.
Phase 2	scripts/06_scrna_processing/phase2_step3_scrna_matched_random_benchmark.R	scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R	matched-random and low-cell sensitivity	Figure 2; Supplementary Table 3	yes	Selected exact script; raw/public inputs are not bundled.
Phase 2	scripts/06_scrna_processing/phase2_step4_known_driver_removal_sensitivity.R	scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	known-driver removal	Figure 2; Supplementary Table 3	yes	Selected exact script; raw/public inputs are not bundled.
Phase 2	scripts/10_integrated_figures/phase2_step5C_patch_figure2.R	scripts/phase2/phase2_step5C_patch_figure2.R	final Figure 2 assembly	Figure 2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 3	scripts/08_spatial_analysis/phase3_step1_spatial_input_audit.R	scripts/phase3/phase3_step1_spatial_input_audit.R	spatial input audit	Supplementary Figure S2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 3	scripts/08_spatial_analysis/phase3_step1B_spatial_metadata_locking.R	scripts/phase3/phase3_step1B_spatial_metadata_locking.R	spatial metadata locking	Supplementary Figure S2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 3	scripts/08_spatial_analysis/phase3_step2_seurat_label_transfer.R	scripts/phase3/phase3_step2_seurat_label_transfer.R	broad-compartment label transfer	Supplementary Figure S2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 3	scripts/08_spatial_analysis/phase3_step2B_loop_tal_projection_usability_audit.R	scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	Loop/TAL usability boundary audit	Supplementary Figure S2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 3	scripts/08_spatial_analysis/phase3_step3_spatial_magma_module_overlay.R	scripts/phase3/phase3_step3_spatial_magma_module_overlay.R	descriptive module overlays	Supplementary Figure S2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 3	scripts/08_spatial_analysis/phase3_step4_spatial_evidence_integration.R	scripts/phase3/phase3_step4_spatial_evidence_integration.R	spatial evidence integration	Supplementary Figure S2	yes	Selected exact script; raw/public inputs are not bundled.
Phase 4	scripts/04_twas/phase4_step1_twas_audit.R	scripts/phase4/phase4_step1_twas_audit.R	Kidney_Cortex TWAS proxy audit	Figure 3; Supplementary Figure S3; Supplementary Table 4	yes	Selected exact script; raw/public inputs are not bundled.
Phase 4	scripts/10_integrated_figures/phase4_step2_candidate_evidence_model_repair.R	scripts/phase4/phase4_step2_candidate_evidence_model_repair.R	candidate model repair	Figure 3; Supplementary Table 5	yes	Submission-aligned wording patch only; computational logic is unchanged.
Phase 4/6	scripts/10_integrated_figures/phase6_step4_reexport_figure3_bulk_reviewed.R	scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R	bulk-reviewed Figure 3 re-export	Figure 3; Supplementary Figure S3	yes	Submission-aligned wording patch only; computational logic is unchanged.
Phase 4/6	scripts/10_integrated_figures/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	full 235-gene matrix re-export	Supplementary Figure S3; Supplementary Table 5	yes	Selected exact script; raw/public inputs are not bundled.
Phase 5	scripts/09_bulk_plaque_context/phase5_step1_bulk_input_audit.R	scripts/phase5/phase5_step1_bulk_input_audit.R	bulk input audit	Figure 4; Supplementary Table 6	yes	Selected exact script; raw/public inputs are not bundled.
Phase 5	scripts/09_bulk_plaque_context/phase5_step2_bulk_module_scoring_paired_model.R	scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R	paired bulk module models	Figure 4; Supplementary Table 6	yes	Selected exact script; raw/public inputs are not bundled.
Phase 5	scripts/09_bulk_plaque_context/phase5_step3_bulk_tissue_state_sensitivity.R	scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R	tissue-state sensitivity	Figure 4; Supplementary Table 6	yes	Selected exact script; raw/public inputs are not bundled.
Phase 5	scripts/10_integrated_figures/phase5_step4_assemble_figure4_bulk_context.R	scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	final Figure 4 assembly	Figure 4	yes	Selected exact script; raw/public inputs are not bundled.
Phase 6	scripts/12_manuscript/phase6_step2_build_manuscript_v3.py	scripts/phase6/phase6_step2_build_manuscript_v3.py	v3.0 assembly	manuscript/package history	yes	Selected exact script; raw/public inputs are not bundled.
Phase 6	scripts/12_manuscript/phase6_step4_build_manuscript_v3_1.py	scripts/phase6/phase6_step4_build_manuscript_v3_1.py	v3.1 assembly	manuscript/package history	yes	Selected exact script; raw/public inputs are not bundled.
Phase 6	scripts/12_manuscript/phase6_step6_build_manuscript_v3_2.py	scripts/phase6/phase6_step6_build_manuscript_v3_2.py	v3.2 polishing and reference renumbering	v3.2 manuscript	yes	Selected exact script; raw/public inputs are not bundled.
Phase 6	scripts/12_manuscript/phase6_step6_materialize_supplement.py	scripts/phase6/phase6_step6_materialize_supplement.py	S1-S3 and Table 1-6 materialization	Supplementary Figures S1-S3; Supplementary Tables 1-6	yes	Selected exact script; raw/public inputs are not bundled.
Phase 6	scripts/12_manuscript/phase6_step6_finalize_submission_package.py	scripts/phase6/phase6_step6_finalize_submission_package.py	submission package assembly	manifests and package	yes	Selected exact script; raw/public inputs are not bundled.
Phase 7	scripts/12_manuscript/phase7_step2_main_figure_polish.R	scripts/phase7/phase7_step2_main_figure_polish.R	main-figure visual polish	Figures 1-4	no	Packaging, visual, or text-only step; no new biological analysis.
Phase 7	scripts/12_manuscript/phase7_step2_supplement_figure_redesign.R	scripts/phase7/phase7_step2_supplement_figure_redesign.R	supplementary-figure visual polish	Supplementary Figures S1-S3	no	Packaging, visual, or text-only step; no new biological analysis.
Phase 7	scripts/12_manuscript/phase7_step3_build_manuscript.py	scripts/phase7/phase7_step3_build_manuscript.py	v3.3 language-polished manuscript assembly	v3.3 manuscript	no	Packaging, visual, or text-only step; no new biological analysis.
Phase 7	scripts/12_manuscript/phase7_step3_text_audits.py	scripts/phase7/phase7_step3_text_audits.py	v3.3 language and claim-boundary audit	v3.3 audit tables	no	Packaging, visual, or text-only step; no new biological analysis.
Phase 7	scripts/12_manuscript/phase7_step4_build_clean_manuscript.py	scripts/phase7/phase7_step4_build_clean_manuscript.py	submission-clean manuscript materialization	v3.3 clean manuscript	no	Packaging, visual, or text-only step; no new biological analysis.
Phase 7	scripts/12_manuscript/phase7_step4_stage_package.py	scripts/phase7/phase7_step4_stage_package.py	v3.3 submission-package staging	v3.3 package and manifests	no	Packaging, visual, or text-only step; no new biological analysis.
