file_path	used_for	source_phase	description	script_mapping	required_for_reproducibility	notes
source_data/figures/phase1_step4_gwas_plot_source_data.tsv.gz	Figure 1 / Supplementary Figure S1	Phase 1	phase1 step4 gwas plot source data.tsv.gz	scripts/phase1/phase1_step4_gwas_qc_audit.py;scripts/phase1/phase1_step4_gwas_qc_plots.R;scripts/phase1/phase1_step4_reconstruct_leads_loci.py;scripts/phase1/phase1_step3_freeze_magma_gene_sets.py	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step2_donor_compartment_barplot_source_data.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 donor compartment barplot source data.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step2_donor_compartment_module_heatmap_source_data.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 donor compartment module heatmap source data.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step2_donor_level_plot_source_data.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 donor level plot source data.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step2_loop_tal_marker_dotplot_source_data.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 loop tal marker dotplot source data.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step2_module_score_umap_source_data.tsv.gz	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 module score umap source data.tsv.gz	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step2_module_score_violin_source_data.tsv.gz	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 module score violin source data.tsv.gz	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step2_umap_source_data.tsv.gz	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 umap source data.tsv.gz	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step3_low_cell_count_sensitivity_source_data.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step3 low cell count sensitivity source data.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step3_matched_random_distribution_source_data.tsv.gz	Figure 2 / Supplementary Table 3	Phase 2	phase2 step3 matched random distribution source data.tsv.gz	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
