figure	source_file	source_role	available	sha256	size_bytes	version_status	notes
Figure 1	source_data/figures/phase1_step4_gwas_plot_source_data.tsv.gz	locked figure source or authoritative supporting table	yes	40f53de624e8c59ced42212bd792ca6dca1b67b7232ce50a97135390c0a8c28d	4253834	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 2	source_data/figures/phase2_step2_umap_source_data.tsv.gz	locked figure source or authoritative supporting table	yes	44c481bffea8d844d46788f305d775813acb0da204e12e475fd00e4f03bea93a	1157077	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 2	source_data/figures/phase2_step2_loop_tal_marker_dotplot_source_data.tsv	locked figure source or authoritative supporting table	yes	59fe8ca7dd454cd48d7b6666cc645e9d7c9fd29aa6b9a20e2c233f2ee85389fe	6027	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 2	source_data/locked_tables/phase2_step2_donor_compartment_module_scores.tsv	locked figure source or authoritative supporting table	yes	b40274534d231e7ce1fca8b1c9b6ba82bccff2201cd74c364a57a0b1a4fc40cd	26993	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 2	source_data/figures/phase2_step3_matched_random_distribution_source_data.tsv.gz	locked figure source or authoritative supporting table	yes	26cdd21fcd0fcf3d602652cb6aad45952e376df282f5dc037ae0a00d2b7e923f	132069	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 2	source_data/locked_tables/phase2_step4_original_vs_driver_removed_summary.tsv	locked figure source or authoritative supporting table	yes	86e6dbf7d3eb282ff37d3665f0bef2055a60fa126d1d43eabd66c1f7eadbe65b	7205	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 3	supplementary_tables/Supplementary_Table_5_candidate_reporting_matrix.tsv	locked figure source or authoritative supporting table	yes	24c84375e1d58c4f1fe707c0cfe4002eda8fa106f12a1fe857907fa5cb12125e	204239	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 3	source_data/locked_tables/phase6_step4_figure3_candidate_matrix_row_selection.tsv	locked figure source or authoritative supporting table	yes	110a9d72cb0f1177daa3e60e1ba72015c0ea951d2b7a6fe3b1cfeacdacd356d4	78544	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 3	source_data/figures/phase4_step2_Figure3_source_data_twas_burden.tsv	locked figure source or authoritative supporting table	yes	e26c8ea662c2c536aeb745c538f456ed7318b8d65d638c85b2b502d340bad8aa	218	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 3	source_data/figures/phase4_step2_Figure3_source_data_reporting_group_counts.tsv	locked figure source or authoritative supporting table	yes	d88372bad7cde896be44ede6c19e54537dcdde50a0471568cbb9a78d879420b7	292	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 4	source_data/figures/phase5_step4_Figure4_panelA_source_data.tsv	locked figure source or authoritative supporting table	yes	d09e32424ee5f6ca0e0874af62365d0b41f04ab4f75775647ed172235bf48b7e	554	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 4	source_data/figures/phase5_step4_Figure4_panelB_source_data.tsv	locked figure source or authoritative supporting table	yes	c49aa1f20a6e56756eed604e26544e21fa15d619251bf76064069f98679d3839	43994	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 4	source_data/figures/phase5_step4_Figure4_panelC_source_data.tsv	locked figure source or authoritative supporting table	yes	80b85bb046dc9df6dea24df53f044647b67b26e54ff1407bc07d0fac5de5f184	1919	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 4	source_data/figures/phase5_step4_Figure4_panelD_source_data.tsv	locked figure source or authoritative supporting table	yes	dae658c6cc17b2272c397654d01343dc011d9e26d8a190880de9348e2d71b644	38550	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 4	source_data/figures/phase5_step4_Figure4_panelE_source_data.tsv	locked figure source or authoritative supporting table	yes	c80ee82585d7beab45b5a6a6b4b3b07a1ea83dad9a9d2647ac67b8a052b8dda8	6037	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Figure 4	source_data/figures/phase5_step4_Figure4_panelF_source_data.tsv	locked figure source or authoritative supporting table	yes	aae9afd97ab5eb316c535853c798abb9b9e86fefd92920998b4ac5d5e0f02365	2226	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S1	source_data/figures/phase1_step4_gwas_plot_source_data.tsv.gz	locked figure source or authoritative supporting table	yes	40f53de624e8c59ced42212bd792ca6dca1b67b7232ce50a97135390c0a8c28d	4253834	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S1	supplementary_tables/Supplementary_Table_2_MAGMA_results_and_modules.tsv	locked figure source or authoritative supporting table	yes	ef1213ee1c4cbb72f06835b4e1c9b89efae88b6f7d47957e5a2796dbd5b89b6e	3771960	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S2	source_data/figures/phase3_step2_label_transfer_qc_source_data.tsv	locked figure source or authoritative supporting table	yes	7e7d130c09225191d39bed9c7ea98cdda7ffe4ec805c134f38ed4650a7468001	14070820	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S2	source_data/locked_tables/phase3_step2B_predicted_compartment_composition.tsv	locked figure source or authoritative supporting table	yes	29c394a3aef2e080b8207bfc0c3ff16f3c7dbb351f410ea3e829d24ec93444dd	4453	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S2	source_data/locked_tables/phase3_step2B_loop_tal_projection_usability.tsv	locked figure source or authoritative supporting table	yes	869a12821d66fdbba8b1e0e009793fb182657c0b0a52324743244172d14bb83e	3264	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S2	source_data/locked_tables/phase3_step3_spatial_module_scores.tsv.gz	locked figure source or authoritative supporting table	yes	a81c2702924b63223d290e9b8f0da57d18dff06256bb7fca8a7b2392a89b76e6	2026567	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S2	source_data/locked_tables/phase3_step3_predicted_compartment_module_summary.tsv	locked figure source or authoritative supporting table	yes	997896edecd8dba2ce40b3b56888a2550e9958e66d5208d7b2767c0b6e62013c	29660	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S2	source_data/locked_tables/phase3_step1_spatial_sample_manifest.tsv	locked figure source or authoritative supporting table	yes	4d12f8abc639ef04ebd2311ee8f50c1a08271a6c63d57521235251081ac778c0	11384	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S2	source_data/locked_tables/phase6_step4_spatial_accession_correction_audit.tsv	locked figure source or authoritative supporting table	yes	e942a5dafa4c92ca5538bddd8725655e68ebe55a53468c6dca98f2451ab27b6d	1222	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S3	supplementary_tables/Supplementary_Table_5_candidate_reporting_matrix.tsv	locked figure source or authoritative supporting table	yes	24c84375e1d58c4f1fe707c0cfe4002eda8fa106f12a1fe857907fa5cb12125e	204239	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S3	source_data/locked_tables/phase4_step1_magma_twas_overlap_summary.tsv	locked figure source or authoritative supporting table	yes	0577a47873d071f4b17dc39fb38ba9181a3993d67f5688ce1d4cd49f7874d446	2552	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S3	source_data/locked_tables/phase4_step2_twas_downgrade_audit.tsv	locked figure source or authoritative supporting table	yes	d666584e69fd980d13e8ee9ac4ba2d6017488029c96ac595e199f241a6e7b536	18478	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
Supplementary Figure S3	source_data/figures/phase4_step2_Figure3_source_data_twas_burden.tsv	locked figure source or authoritative supporting table	yes	e26c8ea662c2c536aeb745c538f456ed7318b8d65d638c85b2b502d340bad8aa	218	locked pre-v3.3 input	Used for visual regeneration only; no biological reanalysis.
