donor_id	sample_id	compartment	n_nuclei	percent_within_donor
GSM7290910	GSM7290910	Collecting_duct_principal	6318	77.0582
GSM7290910	GSM7290910	Endothelial	271	3.3053
GSM7290910	GSM7290910	Fibroblast_stromal	902	11.0013
GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	6.9033
GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	0.3537
GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	1.3782
GSM7290912	GSM7290912	Collecting_duct_principal	16248	85.0503
GSM7290912	GSM7290912	Endothelial	810	4.2399
GSM7290912	GSM7290912	Fibroblast_stromal	1733	9.0714
GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	0.2879
GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	1.2772
GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	0.0733
GSM7290913	GSM7290913	Collecting_duct_principal	1385	31.0399
GSM7290913	GSM7290913	Endothelial	305	6.8355
GSM7290913	GSM7290913	Fibroblast_stromal	761	17.0551
GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	38.7046
GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	5.8942
GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	0.4706
GSM7290914	GSM7290914	Collecting_duct_principal	10898	89.9695
GSM7290914	GSM7290914	Endothelial	1172	9.6756
GSM7290914	GSM7290914	Fibroblast_stromal	26	0.2146
GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	0.1073
GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	0.033
