module_name	statistic_name	interpretation	donor_subset	observed_value
MAGMA_Bonferroni	median_loop_tal_minus_other	robust_to_low_cell_count_donor	full_4_donor_value	0.171158004600998
MAGMA_FDR05	median_loop_tal_minus_other	robust_to_low_cell_count_donor	full_4_donor_value	0.0849013643741453
MAGMA_suggestive_p1e4	median_loop_tal_minus_other	robust_to_low_cell_count_donor	full_4_donor_value	0.127600919077045
MAGMA_top100	median_loop_tal_minus_other	robust_to_low_cell_count_donor	full_4_donor_value	0.165912932336884
MAGMA_top50	median_loop_tal_minus_other	robust_to_low_cell_count_donor	full_4_donor_value	0.195245093705619
MAGMA_Bonferroni	median_loop_tal_minus_other	robust_to_low_cell_count_donor	exclude_GSM7290914_value	0.195369917230528
MAGMA_FDR05	median_loop_tal_minus_other	robust_to_low_cell_count_donor	exclude_GSM7290914_value	0.0959727495597771
MAGMA_suggestive_p1e4	median_loop_tal_minus_other	robust_to_low_cell_count_donor	exclude_GSM7290914_value	0.142949600246877
MAGMA_top100	median_loop_tal_minus_other	robust_to_low_cell_count_donor	exclude_GSM7290914_value	0.189325388192375
MAGMA_top50	median_loop_tal_minus_other	robust_to_low_cell_count_donor	exclude_GSM7290914_value	0.222798377083918
MAGMA_Bonferroni	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge20_value	0.195369917230528
MAGMA_FDR05	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge20_value	0.0959727495597771
MAGMA_suggestive_p1e4	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge20_value	0.142949600246877
MAGMA_top100	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge20_value	0.189325388192375
MAGMA_top50	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge20_value	0.222798377083918
MAGMA_Bonferroni	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge50_value	0.171158004600998
MAGMA_FDR05	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge50_value	0.0849013643741453
MAGMA_suggestive_p1e4	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge50_value	0.127600919077045
MAGMA_top100	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge50_value	0.165912932336884
MAGMA_top50	median_loop_tal_minus_other	robust_to_low_cell_count_donor	donors_loop_tal_ge50_value	0.195245093705619
