module_name	donor_id	sample_id	compartment	n_nuclei	n_genes_used_after_driver_removal	mean_module_score	median_module_score	sd_module_score	se_module_score	notes
MAGMA_top50	GSM7290912	GSM7290912	Endothelial	810	40	0.210594741596433	0.215937259293066	0.0894813154004717	0.00314405294103769	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290912	GSM7290912	Endothelial	810	84	0.201439083098683	0.205713905093678	0.0679475916468305	0.00238743501252239	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290912	GSM7290912	Endothelial	810	78	0.209762877380831	0.215839964238986	0.0695386549617049	0.0024433392789284	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290912	GSM7290912	Endothelial	810	335	0.220026701722267	0.220041874706382	0.0552721507780322	0.00194206541816477	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Endothelial	810	166	0.222736178137391	0.220871888737723	0.065766752451556	0.00231080813399311	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290912	GSM7290912	Collecting_duct_principal	16248	40	0.189480322892495	0.193777262624472	0.116384654960939	0.000913052538390694	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290912	GSM7290912	Collecting_duct_principal	16248	84	0.163343943205171	0.164421861236011	0.0908609413037661	0.000712815732673823	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290912	GSM7290912	Collecting_duct_principal	16248	78	0.168955291680537	0.170661694433492	0.0940214147615671	0.000737610052115076	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290912	GSM7290912	Collecting_duct_principal	16248	335	0.180388263879117	0.179211111614928	0.0803679024456749	0.000630496497650718	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Collecting_duct_principal	16248	166	0.185950543250368	0.183277033639287	0.0948215328541262	0.000743887081124344	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290910	GSM7290910	Collecting_duct_principal	6318	40	0.117250197080372	0.0948740084529597	0.0968846792134249	0.00121889219148697	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290910	GSM7290910	Collecting_duct_principal	6318	84	0.10459240391797	0.0912253118142956	0.075963034979135	0.000955679999453302	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290910	GSM7290910	Collecting_duct_principal	6318	78	0.109573518034132	0.0938768015041996	0.0797426715700463	0.00100323106288998	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290910	GSM7290910	Collecting_duct_principal	6318	335	0.119732569293053	0.100250009404789	0.066132449704505	0.000832002822357039	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Collecting_duct_principal	6318	166	0.116685817117688	0.096855714010101	0.0755627820594839	0.000950644475133632	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290914	GSM7290914	Collecting_duct_principal	10898	40	0.196025139002771	0.202343875830149	0.107266337774747	0.00102751945056474	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290914	GSM7290914	Collecting_duct_principal	10898	84	0.168704510350394	0.174650937658685	0.0804742854627232	0.000770874584689275	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290914	GSM7290914	Collecting_duct_principal	10898	78	0.173290406200669	0.180133972474952	0.0839743693339595	0.000804402384098774	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290914	GSM7290914	Collecting_duct_principal	10898	335	0.188741301678186	0.195472552915261	0.0722774689441188	0.000692356117663181	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Collecting_duct_principal	10898	166	0.200788866893981	0.20741401136541	0.0834222160539408	0.000799113229582249	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290910	GSM7290910	Fibroblast_stromal	902	40	0.181897881609171	0.190508278670821	0.0985490797853295	0.00328132543229274	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290910	GSM7290910	Fibroblast_stromal	902	84	0.168055571598873	0.175633069118109	0.0804011342982586	0.00267706494401314	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290910	GSM7290910	Fibroblast_stromal	902	78	0.172726937506532	0.180871824040763	0.0821344899664477	0.00273477937472754	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290910	GSM7290910	Fibroblast_stromal	902	335	0.180214313484927	0.191449129980273	0.071870939443049	0.00239304052306691	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Fibroblast_stromal	902	166	0.187360052031008	0.200451308537053	0.0798586758271373	0.00265900305260705	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290912	GSM7290912	Fibroblast_stromal	1733	40	0.193380733525727	0.198107894252556	0.0939323348950936	0.00225639867724599	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290912	GSM7290912	Fibroblast_stromal	1733	84	0.183062711837836	0.187764410802588	0.0749504611396863	0.00180042497148017	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290912	GSM7290912	Fibroblast_stromal	1733	78	0.180661208470259	0.183946671351006	0.074740493741562	0.00179538123270884	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290912	GSM7290912	Fibroblast_stromal	1733	335	0.192909247731563	0.19917376532094	0.0553872249933793	0.00133048604988861	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Fibroblast_stromal	1733	166	0.197933953987894	0.203858355630892	0.0661864687911039	0.00158990044055245	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290910	GSM7290910	Endothelial	271	40	0.184542956197959	0.186967170771257	0.0802596208301237	0.00487542475613663	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290910	GSM7290910	Endothelial	271	84	0.184490189092608	0.193526882364311	0.0654093264731536	0.00397333361746639	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290910	GSM7290910	Endothelial	271	78	0.193625912038256	0.200094507277604	0.0685472863595333	0.00416395110550811	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290910	GSM7290910	Endothelial	271	335	0.201702025820802	0.210575434763244	0.0534182742102896	0.00324492906671186	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Endothelial	271	166	0.205840525390706	0.212157417133801	0.0595504431143367	0.00361743179939835	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290914	GSM7290914	Endothelial	1172	40	0.164297203675788	0.164544281107894	0.0759363503682814	0.00221812447818624	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290914	GSM7290914	Endothelial	1172	84	0.172689505068878	0.172363552479248	0.0603467898087912	0.00176274855198666	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290914	GSM7290914	Endothelial	1172	78	0.177458978769931	0.177152944673907	0.0641496370122182	0.00187383090487581	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290914	GSM7290914	Endothelial	1172	335	0.187143839869665	0.189237931949511	0.0437534218426415	0.00127805109835921	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Endothelial	1172	166	0.189874529719444	0.193537648826271	0.0514445163098124	0.00150271036653495	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	40	0.131691351370128	0.115910662521541	0.106908120482924	0.00257255415350625	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	84	0.109556419141635	0.0962200388907694	0.076610619268339	0.00184349856597593	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	78	0.114827779598891	0.101281508832721	0.0810481699825518	0.00195028034709485	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	335	0.114558932347508	0.0953539296265309	0.0646527576180101	0.00155575385101276	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	166	0.115878223008965	0.09785339466495	0.0731551162184286	0.00176034801872708	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	40	0.259842557097514	0.261425226045767	0.0844796824563417	0.0054082574797159	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	84	0.260548410170111	0.26172240470056	0.0626753586168983	0.00401237868299151	Driver-removed module score; donor x compartment descriptive summary.
