sample_id	patient_id	pair_id	group_curated	module_name	module_score	group_order
GSM1900675	ST18	ST18	control_or_adjacent	MAGMA_Bonferroni	0.756440767300791	0
GSM1900676	ST18	ST18	plaque_or_stone_papilla	MAGMA_Bonferroni	0.912834828981469	1
GSM1900677	ST19	ST19	control_or_adjacent	MAGMA_Bonferroni	-0.0211941334066849	0
GSM1900678	ST19	ST19	plaque_or_stone_papilla	MAGMA_Bonferroni	0.431189401178346	1
GSM1900679	ST20	ST20	control_or_adjacent	MAGMA_Bonferroni	-0.145613685507481	0
GSM1900680	ST20	ST20	plaque_or_stone_papilla	MAGMA_Bonferroni	0.0261926371883429	1
GSM1900682	ST22	ST22	control_or_adjacent	MAGMA_Bonferroni	-0.249497330204991	0
GSM1900683	ST22	ST22	plaque_or_stone_papilla	MAGMA_Bonferroni	0.138119763920156	1
GSM1900703	ST27	ST27	control_or_adjacent	MAGMA_Bonferroni	-0.245777818072272	0
GSM1900704	ST27	ST27	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.0660926615347257	1
GSM1900705	ST29	ST29	control_or_adjacent	MAGMA_Bonferroni	0.123933749584253	0
GSM1900706	ST29	ST29	plaque_or_stone_papilla	MAGMA_Bonferroni	0.428803967685088	1
GSM1900707	ST31	ST31	control_or_adjacent	MAGMA_Bonferroni	0.617042739280744	0
GSM1900708	ST31	ST31	plaque_or_stone_papilla	MAGMA_Bonferroni	0.101076487153217	1
GSM1900686	ST33	ST33	control_or_adjacent	MAGMA_Bonferroni	-0.674017069506693	0
GSM1900687	ST33	ST33	plaque_or_stone_papilla	MAGMA_Bonferroni	0.0462218433700175	1
GSM1900688	ST34	ST34	control_or_adjacent	MAGMA_Bonferroni	-0.731597402659987	0
GSM1900689	ST34	ST34	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.630395857432026	1
GSM1900710	ST35	ST35	control_or_adjacent	MAGMA_Bonferroni	0.279159835035711	0
GSM1900711	ST35	ST35	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.352658372442918	1
GSM1900690	ST38	ST38	control_or_adjacent	MAGMA_Bonferroni	-0.767510545759229	0
GSM1900691	ST38	ST38	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.55484269618968	1
GSM1900714	ST40	ST40	control_or_adjacent	MAGMA_Bonferroni	-0.343186102163964	0
GSM1900715	ST40	ST40	plaque_or_stone_papilla	MAGMA_Bonferroni	1.12949854315299	1
GSM1900692	ST41	ST41	control_or_adjacent	MAGMA_Bonferroni	-0.584516081659403	0
GSM1900693	ST41	ST41	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.471328606014579	1
GSM1900694	ST42	ST42	control_or_adjacent	MAGMA_Bonferroni	-0.891560190339775	0
GSM1900695	ST42	ST42	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.84173341306621	1
GSM1900716	ST43	ST43	control_or_adjacent	MAGMA_Bonferroni	-0.447423922882086	0
GSM1900717	ST43	ST43	plaque_or_stone_papilla	MAGMA_Bonferroni	0.0608144700321837	1
GSM1900718	ST44	ST44	control_or_adjacent	MAGMA_Bonferroni	0.527597227772164	0
GSM1900719	ST44	ST44	plaque_or_stone_papilla	MAGMA_Bonferroni	1.08871712312001	1
GSM1900720	ST45	ST45	control_or_adjacent	MAGMA_Bonferroni	0.313851839817824	0
GSM1900721	ST45	ST45	plaque_or_stone_papilla	MAGMA_Bonferroni	0.15551942136874	1
GSM1900696	ST46	ST46	control_or_adjacent	MAGMA_Bonferroni	-0.678153559762867	0
GSM1900697	ST46	ST46	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.890275420187293	1
GSM1900698	ST47	ST47	control_or_adjacent	MAGMA_Bonferroni	-0.789301077111793	0
GSM1900699	ST47	ST47	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.679777983544776	1
GSM1900722	ST48	ST48	control_or_adjacent	MAGMA_Bonferroni	-0.0765921097422474	0
GSM1900723	ST48	ST48	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.141318649387764	1
GSM1900700	ST49	ST49	control_or_adjacent	MAGMA_Bonferroni	-0.736031953014462	0
GSM1900701	ST49	ST49	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.651546071585452	1
GSM1900724	ST50	ST50	control_or_adjacent	MAGMA_Bonferroni	-0.0805877765652075	0
GSM1900725	ST50	ST50	plaque_or_stone_papilla	MAGMA_Bonferroni	-0.0605712629114126	1
GSM1900726	ST52	ST52	control_or_adjacent	MAGMA_Bonferroni	0.144419887847066	0
GSM1900727	ST52	ST52	plaque_or_stone_papilla	MAGMA_Bonferroni	0.910007227523988	1
GSM1900728	ST53	ST53	control_or_adjacent	MAGMA_Bonferroni	0.956857939494453	0
GSM1900729	ST53	ST53	plaque_or_stone_papilla	MAGMA_Bonferroni	0.286660651776047	1
GSM1900730	ST54	ST54	control_or_adjacent	MAGMA_Bonferroni	0.738890281250748	0
GSM1900731	ST54	ST54	plaque_or_stone_papilla	MAGMA_Bonferroni	0.971115901352608	1
GSM1900733	ST56	ST56	control_or_adjacent	MAGMA_Bonferroni	0.918459970587126	0
GSM1900734	ST56	ST56	plaque_or_stone_papilla	MAGMA_Bonferroni	1.09784682083419	1
GSM1900675	ST18	ST18	control_or_adjacent	MAGMA_FDR05	0.956980943043475	0
GSM1900676	ST18	ST18	plaque_or_stone_papilla	MAGMA_FDR05	1.04877118973128	1
GSM1900677	ST19	ST19	control_or_adjacent	MAGMA_FDR05	0.0803832999741255	0
GSM1900678	ST19	ST19	plaque_or_stone_papilla	MAGMA_FDR05	0.450388930291063	1
GSM1900679	ST20	ST20	control_or_adjacent	MAGMA_FDR05	-0.175223626094579	0
GSM1900680	ST20	ST20	plaque_or_stone_papilla	MAGMA_FDR05	0.174903538167428	1
GSM1900682	ST22	ST22	control_or_adjacent	MAGMA_FDR05	-0.212010047710913	0
GSM1900683	ST22	ST22	plaque_or_stone_papilla	MAGMA_FDR05	0.294567945949103	1
GSM1900703	ST27	ST27	control_or_adjacent	MAGMA_FDR05	-0.116754822064501	0
