module_name	adjustment_model	adjusted_group_coefficient
MAGMA_top50	base_unadjusted	0.170412678077428
MAGMA_top100	base_unadjusted	0.169086129009649
MAGMA_Bonferroni	base_unadjusted	0.17423017748957
MAGMA_FDR05	base_unadjusted	0.172126461072211
MAGMA_suggestive_p1e4	base_unadjusted	0.173421603305168
MAGMA_Bonferroni	single_injury_KIM1_LCN2_like	0.0515728844458155
MAGMA_FDR05	single_injury_KIM1_LCN2_like	0.0692566088134295
MAGMA_suggestive_p1e4	single_injury_KIM1_LCN2_like	0.0661768465068685
MAGMA_top100	single_injury_KIM1_LCN2_like	0.0504877628699037
MAGMA_top50	single_injury_KIM1_LCN2_like	0.0260575094024567
MAGMA_Bonferroni	single_fibrosis_remodeling	0.147365565263312
MAGMA_FDR05	single_fibrosis_remodeling	0.142806791188732
MAGMA_suggestive_p1e4	single_fibrosis_remodeling	0.142276277031996
MAGMA_top100	single_fibrosis_remodeling	0.142769785267762
MAGMA_top50	single_fibrosis_remodeling	0.157944549869859
MAGMA_Bonferroni	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	0.0393477398687479
MAGMA_FDR05	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	0.0553279887529721
MAGMA_suggestive_p1e4	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	0.0513425240946478
MAGMA_top100	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	0.0384826925033087
MAGMA_top50	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	0.0220373114922211
