analysis_level	module_name	signature_name	n_observations	correlation_method	correlation	p_value	fdr_bh	interpretation	notes	module_label	signature_label
paired_difference_level	MAGMA_Bonferroni	injury_KIM1_LCN2_like	26	Spearman	0.601367521367521	0.00115630017291103	0.00412964347468226	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Bonferroni	Injury
paired_difference_level	MAGMA_Bonferroni	epithelial_transport	26	Spearman	0.488547008547008	0.0113289737680612	0.019532713393209	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Bonferroni	Epithelial state
paired_difference_level	MAGMA_Bonferroni	fibroblast_stromal_ECM	26	Spearman	0.622564102564103	0.00068271075823028	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Bonferroni	Stromal/ECM
paired_difference_level	MAGMA_Bonferroni	fibrosis_remodeling	26	Spearman	0.517264957264957	0.00680751090212401	0.0154716156866455	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Bonferroni	Fibrosis/remodeling
paired_difference_level	MAGMA_Bonferroni	endothelial_proxy	26	Spearman	0.767521367521367	4.7444609761649e-06	0.000237223048808245	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Bonferroni	Endothelial
paired_difference_level	MAGMA_FDR05	injury_KIM1_LCN2_like	26	Spearman	0.602735042735043	0.00111888841800246	0.00412964347468226	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	FDR 0.05	Injury
paired_difference_level	MAGMA_FDR05	epithelial_transport	26	Spearman	0.582222222222222	0.00180523036676265	0.00501452879656291	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	FDR 0.05	Epithelial state
paired_difference_level	MAGMA_FDR05	fibroblast_stromal_ECM	26	Spearman	0.605470085470085	0.00104719167134451	0.00412964347468226	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	FDR 0.05	Stromal/ECM
paired_difference_level	MAGMA_FDR05	fibrosis_remodeling	26	Spearman	0.498119658119658	0.00960517268653429	0.0184714859356429	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	FDR 0.05	Fibrosis/remodeling
paired_difference_level	MAGMA_FDR05	endothelial_proxy	26	Spearman	0.66974358974359	0.00018228435902983	0.00257908626752204	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	FDR 0.05	Endothelial
paired_difference_level	MAGMA_suggestive_p1e4	injury_KIM1_LCN2_like	26	Spearman	0.613675213675214	0.00085540034379829	0.00388818338090132	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Suggestive	Injury
paired_difference_level	MAGMA_suggestive_p1e4	epithelial_transport	26	Spearman	0.589059829059829	0.00154455954124742	0.00461493345636811	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Suggestive	Epithelial state
paired_difference_level	MAGMA_suggestive_p1e4	fibroblast_stromal_ECM	26	Spearman	0.618461538461538	0.000758228564936533	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Suggestive	Stromal/ECM
paired_difference_level	MAGMA_suggestive_p1e4	fibrosis_remodeling	26	Spearman	0.493333333333333	0.0104374990533094	0.0193287019505729	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Suggestive	Fibrosis/remodeling
paired_difference_level	MAGMA_suggestive_p1e4	endothelial_proxy	26	Spearman	0.665641025641026	0.000206326901401763	0.00257908626752204	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Suggestive	Endothelial
paired_difference_level	MAGMA_top100	injury_KIM1_LCN2_like	26	Spearman	0.619145299145299	0.000745160693191392	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 100	Injury
paired_difference_level	MAGMA_top100	epithelial_transport	26	Spearman	0.511111111111111	0.00762020054033362	0.0165656533485513	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 100	Epithelial state
paired_difference_level	MAGMA_top100	fibroblast_stromal_ECM	26	Spearman	0.594529914529914	0.00136000803773546	0.00453336012578486	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 100	Stromal/ECM
paired_difference_level	MAGMA_top100	fibrosis_remodeling	26	Spearman	0.504273504273504	0.00861702575505009	0.0179521369896877	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 100	Fibrosis/remodeling
paired_difference_level	MAGMA_top100	endothelial_proxy	26	Spearman	0.732649572649573	2.08192323245854e-05	0.000520480808114636	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 100	Endothelial
paired_difference_level	MAGMA_top50	injury_KIM1_LCN2_like	26	Spearman	0.632136752136752	0.00053139845584653	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 50	Injury
paired_difference_level	MAGMA_top50	epithelial_transport	26	Spearman	0.534358974358974	0.0049221189766768	0.0117193308968495	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 50	Epithelial state
paired_difference_level	MAGMA_top50	fibroblast_stromal_ECM	26	Spearman	0.415384615384615	0.0348319512990191	0.0497599304271701	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 50	Stromal/ECM
paired_difference_level	MAGMA_top50	fibrosis_remodeling	26	Spearman	0.332649572649573	0.0968259694946953	0.110029510789426	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 50	Fibrosis/remodeling
paired_difference_level	MAGMA_top50	endothelial_proxy	26	Spearman	0.588376068376068	0.00156907737516516	0.00461493345636811	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.	Top 50	Endothelial
