sample_id	section_id	complete_visium_input	metadata_locked	roi_annotation_available	gene_overlap_sufficient	include_for_deconvolution	include_for_module_scoring	include_for_group_comparison	reason	notes
GSM6250307	V10M09-035_XY04-F39	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM6250308	V19S25-020_XY02-KRP428_slide2	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM6250309	V10M09-035_XY03-KRP449-440	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM6250310	V10M09-035_XY02-KRP429-478	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	complete	yes	no	yes	yes	yes	yes	Complete Visium input and sufficient gene overlap; no ROI-specific claims.	Disease/control comparison is metadata-supported, but ROI/plaque-specific claims remain disallowed.
