sample_id	geo_accession	section_id	dataset_label	condition_or_group	matrix_file	features_file_or_h5	barcodes_file	tissue_positions_file	scalefactors_file	hires_image_file	lowres_image_file	other_image_files	metadata_file	complete_visium_input	notes
GSM6250310	GSM6250310	V10M09-035_XY02-KRP429-478	GSE206306	metadata_not_locked	data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/GSM6250310_V10M09.035_XY02.KRP429.478/V10M09-035_XY02-KRP429-478/outs/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	Condition/group metadata not locked.
GSM6250309	GSM6250309	V10M09-035_XY03-KRP449-440	GSE206306	metadata_not_locked	data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/GSM6250309_V10M09.035_XY03.KRP449.440/V10M09-035_XY03-KRP449-440/outs/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	Condition/group metadata not locked.
GSM6250307	GSM6250307	V10M09-035_XY04-F39	GSE206306	metadata_not_locked	data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/GSM6250307_V10M09.035_XY04.F39/V10M09-035_XY04-F39/outs/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	Condition/group metadata not locked.
GSM6250308	GSM6250308	V19S25-020_XY02-KRP428_slide2	GSE206306	metadata_not_locked	data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/GSM6250308_V19S25.020_XY02.KRP428_slide2/V19S25-020_XY02-KRP428_slide2/outs/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	Condition/group metadata not locked.
GSM7166170	GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	GSE231630	metadata_not_locked	data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/GSM7166170_geo_V12Y24.346_XY04_M50/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	Condition/group metadata not locked.
GSM7166168_inferred_from_archive	GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	GSE231630	metadata_not_locked	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/V12Y24.346_XY01_446/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	GEO accession inferred from archive naming; verify manually.
GSM7166168_inferred_from_archive	GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	GSE231630	metadata_not_locked	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/V12Y24.346_XY01_462/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	GEO accession inferred from archive naming; verify manually.
GSM7166168_inferred_from_archive	GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	GSE231630	metadata_not_locked	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/V12Y24.346_XY01_475/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	GEO accession inferred from archive naming; verify manually.
GSM7166169_inferred_from_archive	GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	GSE231630	metadata_not_locked	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F59/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	GEO accession inferred from archive naming; verify manually.
GSM7166169_inferred_from_archive	GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	GSE231630	metadata_not_locked	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/filtered_feature_bc_matrix.h5	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/filtered_feature_bc_matrix.h5		data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/spatial/tissue_positions_list.csv	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/spatial/scalefactors_json.json	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/spatial/tissue_hires_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/spatial/tissue_lowres_image.png	data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/spatial/aligned_fiducials.jpg;data/raw/spatial/manual_download_staging/V12Y24.346_XY02_F63/spatial/detected_tissue_image.jpg	config/spatial_sample_metadata.tsv (template only)	complete	GEO accession inferred from archive naming; verify manually.
