sample_id	section_id	module_name	predicted_compartment	n_spots	mean_module_score	median_module_score	sd_module_score	iqr_module_score	median_prediction_score_max	notes
GSM6250307	V10M09-035_XY04-F39	MAGMA_Bonferroni	Collecting duct	2416	0.171041888415165	0.17258523195767	0.0508489292217515	0.064478866302147	0.881085177054249	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_Bonferroni	Injured/undifferentiated epithelial	22	0.188937406113825	0.182732864388781	0.0339966681618254	0.04435184745438	0.54756353457563	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_FDR05	Collecting duct	2416	0.174156704570219	0.17632032295205	0.0365824254291706	0.0433849719681806	0.881085177054249	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_FDR05	Injured/undifferentiated epithelial	22	0.202101439040365	0.197257820288647	0.0196510148325983	0.0176676763093318	0.54756353457563	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_suggestive_p1e4	Collecting duct	2416	0.173185037652241	0.176332379933037	0.0430733296774463	0.0548443167245895	0.881085177054249	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_suggestive_p1e4	Injured/undifferentiated epithelial	22	0.199950575465482	0.194705646568288	0.0317373464197346	0.0253104891483424	0.54756353457563	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_top100	Collecting duct	2416	0.165884478250438	0.166308333669444	0.0487230799784846	0.0624373172461832	0.881085177054249	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_top100	Injured/undifferentiated epithelial	22	0.183395262398226	0.181711849945787	0.0342768150359187	0.0419359860987294	0.54756353457563	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_top50	Collecting duct	2416	0.170472157506125	0.171765425080266	0.0642525522996601	0.0868873872163658	0.881085177054249	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250307	V10M09-035_XY04-F39	MAGMA_top50	Injured/undifferentiated epithelial	22	0.18321304322522	0.172727294086817	0.053605848718089	0.0517171310390884	0.54756353457563	Predicted broad-compartment context only; not true cell fraction or histological ROI.
