gene	magma_rank	magma_p	magma_fdr	magma_status	in_MAGMA_top50	in_MAGMA_top100	in_MAGMA_Bonferroni	in_MAGMA_FDR05	in_MAGMA_suggestive	snRNA_support_status	snRNA_support_basis	twas_fdr_supported	twas_model_type	twas_p	twas_fdr	twas_proxy_status	spatial_status	bulk_status_if_available	existing_group	repaired_reporting_group	group_change	allowed_interpretation	not_allowed_interpretation	notes
CHAF1B	5	9.9198e-14	3.435425136e-10	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
HIBADH	6	1.2884e-13	3.7183224e-10	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
PDILT	7	1.9224e-13	4.75546834285714e-10	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TFAP2B	8	6.8295e-13	1.34145128e-09	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
UGT8	9	6.9722e-13	1.34145128e-09	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CASR	10	1.0453e-12	1.81004148e-09	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
RNLS	11	1.1644e-12	1.83297730909091e-09	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_fdr_supported	0.0390300030680748	0.4813520558014	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CLDN14	15	6.0864e-12	7.02614016e-09	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CLDN10	19	1.0033e-10	9.14375936842105e-08	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
UMOD	21	1.7321e-10	1.42824017142857e-07	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
