analysis_level	module_name	signature_name	n_observations	correlation_method	correlation	p_value	fdr_bh	interpretation	notes
sample_level	MAGMA_Bonferroni	injury_KIM1_LCN2_like	55	Spearman	0.768975468975469	7.04866655376607e-12	2.2027082980519e-11	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	injury_KIM1_LCN2_like	26	Spearman	0.601367521367521	0.00115630017291103	0.00412964347468226	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	inflammatory_stress	55	Spearman	0.656421356421356	5.28937436765587e-08	6.61171795956983e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	inflammatory_stress	26	Spearman	0.355897435897436	0.0743544673214977	0.0929430841518721	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	epithelial_transport	55	Spearman	0.704401154401154	1.96118774777925e-09	3.77151489957548e-09	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	epithelial_transport	26	Spearman	0.488547008547008	0.0113289737680612	0.019532713393209	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	Loop_TAL_transport_proxy	55	Spearman	0.625757575757576	3.2460152129118e-07	3.38126584678313e-07	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	Loop_TAL_transport_proxy	26	Spearman	0.453675213675214	0.0199195676673265	0.0296031420599455	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	collecting_duct_proxy	55	Spearman	0.683044733044733	9.1763290789313e-09	1.43380141858301e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	collecting_duct_proxy	26	Spearman	0.459145299145299	0.0182989292243228	0.0295144019747141	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	fibroblast_stromal_ECM	55	Spearman	0.821284271284271	1.59166025126598e-14	2.65276708544331e-13	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	fibroblast_stromal_ECM	26	Spearman	0.622564102564103	0.00068271075823028	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	fibrosis_remodeling	55	Spearman	0.788528138528138	8.84272531628593e-13	4.42136265814296e-12	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	fibrosis_remodeling	26	Spearman	0.517264957264957	0.00680751090212401	0.0154716156866455	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	endothelial_proxy	55	Spearman	0.808513708513708	8.34934079833724e-14	9.1350189385771e-13	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_Bonferroni	endothelial_proxy	26	Spearman	0.767521367521367	4.7444609761649e-06	0.000237223048808245	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_Bonferroni	immune_proxy	55	Spearman	0.663564213564213	3.36352465148182e-08	4.42569033089713e-08	descriptive_noncausal_correlation	Across all included samples.
