module_name	adjustment_model	covariates_included	n_paired_patients	n_samples_used	base_group_coefficient	adjusted_group_coefficient	coefficient_change_percent	base_p_value	adjusted_p_value	base_fdr	adjusted_fdr_within_model_family	attenuation_class	interpretation	notes
MAGMA_Bonferroni	single_injury_KIM1_LCN2_like	injury_KIM1_LCN2_like	26	52	0.17423017748957	0.0515728844458155	-70.3995684393406	0.0570355001806448	0.581143420167143	0.071294375225806	0.726429275208929	strongly_attenuated	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	single_injury_KIM1_LCN2_like	injury_KIM1_LCN2_like	26	52	0.172126461072211	0.0692566088134295	-59.7641127447716	0.0384243004957732	0.421552385263093	0.071294375225806	0.726429275208929	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	single_injury_KIM1_LCN2_like	injury_KIM1_LCN2_like	26	52	0.173421603305168	0.0661768465068685	-61.8404828201145	0.0492445152631739	0.47253085302275	0.071294375225806	0.726429275208929	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	single_injury_KIM1_LCN2_like	injury_KIM1_LCN2_like	26	52	0.169086129009649	0.0504877628699037	-70.1408015159998	0.0538124781711585	0.571342457136262	0.071294375225806	0.726429275208929	strongly_attenuated	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	single_injury_KIM1_LCN2_like	injury_KIM1_LCN2_like	26	52	0.170412678077428	0.0260575094024567	-84.7091720543132	0.0823578410385841	0.790014586032199	0.0823578410385841	0.790014586032199	strongly_attenuated	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_Bonferroni	single_Loop_TAL_transport_proxy	Loop_TAL_transport_proxy	26	52	0.17423017748957	0.190728640037418	9.46934841344349	0.0570355001806448	0.0152061476742071	0.071294375225806	0.0253435794570118	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	single_Loop_TAL_transport_proxy	Loop_TAL_transport_proxy	26	52	0.172126461072211	0.181963459772997	5.71498341365374	0.0384243004957732	0.02226478602263	0.071294375225806	0.0265942159288773	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	single_Loop_TAL_transport_proxy	Loop_TAL_transport_proxy	26	52	0.173421603305168	0.184742535344575	6.52798257174753	0.0492445152631739	0.0265942159288773	0.071294375225806	0.0265942159288773	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	single_Loop_TAL_transport_proxy	Loop_TAL_transport_proxy	26	52	0.169086129009649	0.184791529813509	9.28840283697317	0.0538124781711585	0.0143213911373449	0.071294375225806	0.0253435794570118	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	single_Loop_TAL_transport_proxy	Loop_TAL_transport_proxy	26	52	0.170412678077428	0.192923372508774	13.2095186140542	0.0823578410385841	0.00730454207671244	0.0823578410385841	0.0253435794570118	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
