gene	repaired_reporting_group	included_in_main_figure	reason_for_inclusion	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary	notes
CHAF1B	R1	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=5	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
HIBADH	R1	TRUE	Named exemplar/priority gene retained for reader orientation.	top50; rank=6	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PDILT	R1	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=7	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TFAP2B	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=8	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
UGT8	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=9	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CASR	R1	TRUE	Named exemplar/priority gene retained for reader orientation.	top50; rank=10	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RNLS	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=11	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CLDN14	R1	TRUE	Named exemplar/priority gene retained for reader orientation.	top50; rank=15	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CLDN10	R1	TRUE	Named exemplar/priority gene retained for reader orientation.	top50; rank=19	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
UMOD	R1	TRUE	Named exemplar/priority gene retained for reader orientation.	top50; rank=21	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MRPL33	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=25	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC4A1AP	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=28	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CDK12	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=29	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SHROOM3	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=34	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DZIP1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=35	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PKD2	R1	TRUE	Named exemplar/priority gene retained for reader orientation.	top50; rank=37	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RBKS	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=39	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GLT8D1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=54	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ASCC3	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=58	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DXO	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=61	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
AP1S3	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=66	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
BNIP1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=68	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PLCL1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=74	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TMEM170A	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=76	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SHLD2	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=82	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
WDR72	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=86	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RAB36	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=90	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CFDP1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=91	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GCAT	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=92	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC12A3	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=93	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
