module_name	excluded_donor	remaining_donors	remaining_loop_tal_nuclei	loop_tal_mean_score	loop_tal_rank	loop_tal_percentile_rank	top_compartment	support_retained	notes	module_label	donor_short
MAGMA_top100	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.315694603509204	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top100	D7290910
MAGMA_top100	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.322510169975078	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top100	D7290912
MAGMA_top100	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.305491980791064	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top100	D7290913
MAGMA_top100	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.335863788149224	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top100	D7290914
MAGMA_top50	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.3656754649842	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top50	D7290910
MAGMA_top50	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.377243281243985	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top50	D7290912
MAGMA_top50	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.355697689913137	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top50	D7290913
MAGMA_top50	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.396481343317179	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	MAGMA top50	D7290914
R1_MAGMA_Bonferroni_only	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.368049616861758	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1 Bonferroni	D7290910
R1_MAGMA_Bonferroni_only	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.376488755097425	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1 Bonferroni	D7290912
R1_MAGMA_Bonferroni_only	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.3548243874292	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1 Bonferroni	D7290913
R1_MAGMA_Bonferroni_only	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.38986163593984	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1 Bonferroni	D7290914
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.327560147075914	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1-R3 Bonf.	D7290910
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.335362799892332	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1-R3 Bonf.	D7290912
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.317096108518472	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1-R3 Bonf.	D7290913
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.348856070201257	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means	R1-R3 Bonf.	D7290914
