genetic_priority_level	twas_proxy_level	N
G1_MAGMA_Bonferroni	Tx_not_available	63
G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	16
G3_MAGMA_suggestive_or_module	T2_one_snp_Kidney_Cortex_proxy	10
G2_MAGMA_FDR_nonBonferroni	T1_multi_snp_Kidney_Cortex_proxy	5
G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	16
G4_no_MAGMA_support	T2_one_snp_Kidney_Cortex_proxy	3
G3_MAGMA_suggestive_or_module	T1_multi_snp_Kidney_Cortex_proxy	2
G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	13
G1_MAGMA_Bonferroni	T1_multi_snp_Kidney_Cortex_proxy	1
G4_no_MAGMA_support	T1_multi_snp_Kidney_Cortex_proxy	1
