figure	panel	source_table	n_rows	n_columns	ready_for_publication_source_data	notes
figure2	A	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelA_source.tsv	6	6	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure2	B	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelB_source.tsv	92	17	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure2	C	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelC_source.tsv	16	14	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure2	D	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelD_source.tsv	16	12	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure2	E	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelE_source.tsv	4	19	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure2	F	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelF_source.tsv	20	17	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure2	G	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelG_source.tsv	7	9	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure3	A	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelA_source.tsv	10	3	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure3	B	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelB_source.tsv	6	8	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure3	C	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelC_source.tsv	6	4	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure3	D	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelD_source.tsv	18	4	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
figure3	E	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelE_source.tsv	9	2	draft_ready	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission.
