signature_name	signature_role	n_genes_detected	n_paired_patients	median_delta	mean_delta	direction_consistency_fraction	wilcoxon_p	paired_t_p	fdr	effect_direction	interpretation	notes	sd_delta	n_positive_delta	n_negative_delta	signature_label	signature_class
B_cell	composition_signature	4	26	0.0223484945776516	0.0564323006156121	0.576923076923077	0.431084443013081	0.559470164194642	0.615834918590116	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.486441092722662	15	11	B cell	Composition marker proxy
ECM_fibrosis	injury_or_remodeling_signature	7	26	0.0226462727364963	0.128370163297085	0.538461538461538	0.576328596521652	0.380746884853309	0.576328596521652	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.733576655322131	14	12	ECM / fibrosis	Injury / remodeling proxy
LoopTAL	composition_signature	7	26	-0.135136256387829	0.00330652819627996	0.576923076923077	0.979737524502568	0.984925432220438	0.979737524502568	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.883455934432427	11	15	Loop / TAL	Composition marker proxy
T_cell	composition_signature	4	26	-0.121020057640779	-0.0144722974053833	0.653846153846154	0.431084443013081	0.915408147394743	0.615834918590116	decrease	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.687745915990843	9	17	T cell	Composition marker proxy
collecting_duct	composition_signature	6	26	0.166351426964634	0.171158981092195	0.576923076923077	0.297728418004512	0.207006708745585	0.615834918590116	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.673709256116524	15	11	Collecting duct	Composition marker proxy
endothelial	composition_signature	6	26	0.10850520850205	0.178350727473945	0.576923076923077	0.309667917232871	0.260222105471237	0.615834918590116	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.789427267115336	15	11	Endothelial	Composition marker proxy
epithelial_general	composition_signature	5	26	0.346353364495414	0.282676081755392	0.653846153846154	0.088818283271724	0.0459745701684015	0.606576196598918	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.68633385673903	17	9	Epithelial general	Composition marker proxy
fibroblast_stromal	composition_signature	6	26	-0.0479536756370136	0.114090440007273	0.5	0.5591170586332	0.496009114425766	0.64036510724628	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.842046549959387	13	13	Fibroblast / stromal	Composition marker proxy
immune_myeloid	composition_signature	7	26	0.0917956280740355	0.184461524933773	0.615384615384615	0.121315239319784	0.149893737709767	0.606576196598918	increase	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.633137185153974	16	10	Immune / myeloid	Composition marker proxy
injury_epithelial	injury_or_remodeling_signature	7	26	0.381568710708329	0.341481518760449	0.769230769230769	0.00378712571418864	0.0039974182438967	0.00568068857128296	increase	directionally_consistent_increase	Bulk marker-signature response; not validated cell fraction estimation.	0.549251980311748	20	6	Injury epithelial	Injury / remodeling proxy
mineralization_remodeling	injury_or_remodeling_signature	7	26	0.345991247432213	0.334961267766971	0.769230769230769	0.0023055607542569	0.00257177993968782	0.00568068857128296	increase	directionally_consistent_increase	Bulk marker-signature response; not validated cell fraction estimation.	0.509960606241621	20	6	Mineralization / remodeling	Injury / remodeling proxy
pericyte_smooth_muscle	composition_signature	6	26	-0.125470359250221	-0.109409325116832	0.653846153846154	0.232593410890413	0.456044014600145	0.615834918590116	decrease	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.736827112156687	9	17	Pericyte / smooth muscle	Composition marker proxy
proximal_tubule	composition_signature	6	26	0.0597700986802538	-0.0254151544767767	0.576923076923077	0.576328596521652	0.772711655374785	0.64036510724628	decrease	mixed_or_weak	Bulk marker-signature response; not validated cell fraction estimation.	0.443840810659515	15	11	Proximal tubule	Composition marker proxy
