module_name	correlation_level	signature_name	n_observations	spearman_r	spearman_p	pearson_r	pearson_p	fdr	interpretation	notes	stage5B2_interpretation	claim_allowed	claim_not_allowed	module_label	signature_label	cell_label
MAGMA_top100	paired_delta_level	ECM_fibrosis	26	0.544615384615385	0.00401901026673051	0.594644894641608	0.00135634242038251	0.0122934431688227	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	MAGMA top 100	ECM / fibrosis	"rho 0.54
FDR 0.0123"
MAGMA_top100	paired_delta_level	injury_epithelial	26	0.725811965811966	2.71036453327666e-05	0.791479352899715	1.47136175696906e-06	0.000467143783001291	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	MAGMA top 100	Injury epithelial	"rho 0.73
FDR 0.000467"
MAGMA_top100	paired_delta_level	mineralization_remodeling	26	0.56034188034188	0.00290858134508209	0.683560041530822	0.000118400774914385	0.00972854242508887	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	MAGMA top 100	Mineralization / remodeling	"rho 0.56
FDR 0.00973"
MAGMA_top50	paired_delta_level	ECM_fibrosis	26	0.276581196581197	0.171377824008003	0.415365927046312	0.0348409531207982	0.217357240205272	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	MAGMA top 50	ECM / fibrosis	"rho 0.28
FDR 0.217"
MAGMA_top50	paired_delta_level	injury_epithelial	26	0.80034188034188	9.17891378707954e-07	0.819297254639056	3.07919716342312e-07	4.56819438834042e-05	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	MAGMA top 50	Injury epithelial	"rho 0.80
FDR 4.57e-05"
MAGMA_top50	paired_delta_level	mineralization_remodeling	26	0.788034188034188	1.75699784166939e-06	0.793817897211478	1.30197329677009e-06	4.56819438834042e-05	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	MAGMA top 50	Mineralization / remodeling	"rho 0.79
FDR 4.57e-05"
R1_MAGMA_Bonferroni_only	paired_delta_level	ECM_fibrosis	26	0.507692307692308	0.00810579589133731	0.551374659186433	0.00350418385092805	0.0234167436860855	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	R1 MAGMA Bonf.	ECM / fibrosis	"rho 0.51
FDR 0.0234"
R1_MAGMA_Bonferroni_only	paired_delta_level	injury_epithelial	26	0.712136752136752	4.49176714424318e-05	0.804037612054077	7.48730018262818e-07	0.000467143783001291	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	R1 MAGMA Bonf.	Injury epithelial	"rho 0.71
FDR 0.000467"
R1_MAGMA_Bonferroni_only	paired_delta_level	mineralization_remodeling	26	0.597264957264957	0.00127509080168272	0.740363624728048	1.53125712956704e-05	0.00510036320673087	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	R1 MAGMA Bonf.	Mineralization / remodeling	"rho 0.60
FDR 0.0051"
R1_R2_R3_all_MAGMA_Bonferroni	paired_delta_level	ECM_fibrosis	26	0.558974358974359	0.00299339766925811	0.584629674208049	0.00170944415058345	0.00972854242508887	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.	module_shift_coupled_to_injury_remodeling	injury/remodeling-associated bulk context	cell-type-specific injury response; causal mineralization mechanism; therapeutic target validation	R1-R3 MAGMA Bonf.	ECM / fibrosis	"rho 0.56
FDR 0.00973"
