module_name	context_signature	n_sections_evaluable	n_sections_positive_raw	n_sections_positive_residualized	median_spearman_raw	median_spearman_residualized	range_spearman_residualized	consistency_label	spatial_claim_allowed	notes	module_label	context_label	consistency_short	cell_label
R1_MAGMA_Bonferroni_only	LoopTAL_signature	5	5	5	0.18638376197286	0.138901166018959	0.108 to 0.250	consistent_positive	papillary_tissue_context_projection	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1 MAGMA Bonf.	Loop / TAL	consistent	0.14 | CP
R1_MAGMA_Bonferroni_only	injury_epithelial	5	4	0	0.135080622047042	-0.0145860226761218	-0.052 to 0.001	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1 MAGMA Bonf.	Injury epithelial	not supported	-0.01 | NS
R1_MAGMA_Bonferroni_only	ECM_fibrosis	5	3	0	0.106711902762177	-0.0292124900164613	-0.061 to 0.043	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1 MAGMA Bonf.	ECM / fibrosis	not supported	-0.03 | NS
R1_MAGMA_Bonferroni_only	mineralization_remodeling	5	2	0	0.0945558928723027	0.0303063663510252	-0.037 to 0.080	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1 MAGMA Bonf.	Mineralization / remodeling	mixed	0.03 | MIX
R1_R2_R3_all_MAGMA_Bonferroni	LoopTAL_signature	5	5	3	0.156110449991573	0.120129234565146	0.092 to 0.218	directionally_positive_but_attenuated	supplementary_spatial_codistribution	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1-R3 MAGMA Bonf.	Loop / TAL	attenuated	0.12 | ATT
R1_R2_R3_all_MAGMA_Bonferroni	injury_epithelial	5	4	0	0.139363754047422	-0.0193509674416492	-0.060 to -0.013	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1-R3 MAGMA Bonf.	Injury epithelial	not supported	-0.02 | NS
R1_R2_R3_all_MAGMA_Bonferroni	ECM_fibrosis	5	3	0	0.109928704398505	-0.0235219167183978	-0.050 to 0.038	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1-R3 MAGMA Bonf.	ECM / fibrosis	not supported	-0.02 | NS
R1_R2_R3_all_MAGMA_Bonferroni	mineralization_remodeling	5	3	0	0.103810578564369	0.0176275266734721	-0.032 to 0.072	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	R1-R3 MAGMA Bonf.	Mineralization / remodeling	mixed	0.02 | MIX
MAGMA_top50	LoopTAL_signature	5	5	4	0.137958639794683	0.129007477252927	0.038 to 0.169	consistent_positive	papillary_tissue_context_projection	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 50	Loop / TAL	consistent	0.13 | CP
MAGMA_top50	injury_epithelial	5	3	0	0.11754737394902	-0.0189441821499448	-0.052 to 0.063	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 50	Injury epithelial	not supported	-0.02 | NS
MAGMA_top50	ECM_fibrosis	5	1	0	0.0154586024292414	-0.0621072028980823	-0.097 to -0.045	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 50	ECM / fibrosis	not supported	-0.06 | NS
MAGMA_top50	mineralization_remodeling	5	2	0	0.0940352424055985	0.0260991310602523	-0.086 to 0.071	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 50	Mineralization / remodeling	mixed	0.03 | MIX
MAGMA_top100	LoopTAL_signature	5	5	3	0.158046952132777	0.113936831858846	0.083 to 0.220	directionally_positive_but_attenuated	supplementary_spatial_codistribution	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 100	Loop / TAL	attenuated	0.11 | ATT
MAGMA_top100	injury_epithelial	5	4	0	0.141204488433823	-0.0254118578298317	-0.054 to -0.007	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 100	Injury epithelial	not supported	-0.03 | NS
MAGMA_top100	ECM_fibrosis	5	3	0	0.113482631267331	-0.0264083749175117	-0.059 to 0.038	not_supported	not_for_claim	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 100	ECM / fibrosis	not supported	-0.03 | NS
MAGMA_top100	mineralization_remodeling	5	3	0	0.101464041226217	0.0113800907120962	-0.045 to 0.084	mixed_or_weak	supplementary_only	Positive threshold rho >= 0.10; section consistency, not spot-level P values, controls interpretation.	MAGMA top 100	Mineralization / remodeling	mixed	0.01 | MIX
