reference_number	first_author	year	title_short	doi_or_url_present	needs_external_verification	possible_issue	reference_status	action_needed	priority	notes
1	Khan SR	2016	Kidney stones	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
2	Moe OW	2006	Kidney stones: pathophysiology and medical management	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
3	Singh P	2022	The genetics of kidney stone disease and nephrocalcinosis	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
4	Cao X	2025	Trans-ancestry GWAS identifies 59 loci and improves risk prediction and fine-mapping for kidney s...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
5	Hao X	2023	Integrative genome-wide analyses identify novel loci associated with kidney stones and provide in...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
6	Chen WC	2024	Identification of novel genetic susceptibility loci for calcium-containing kidney stone disease b...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
7	Thorleifsson G	2009	Sequence variants in the CLDN14 gene associate with kidney stones and bone mineral density	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
8	Palsson R	2019	Genetics of common complex kidney stone disease: insights from genome-wide association studies	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
9	Evan AP	2003	Randall's plaque of patients with nephrolithiasis begins in basement membranes of thin loops of H...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
10	Evan AP	2018	Randall's plaque in stone formers originates in ascending thin limbs	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
