figure	panel	final_proposed_filename	source_data_file	source_exists	row_count_if_readable	column_count_if_readable	ready_for_packaging	needs_human_review	notes
Figure 1	A	Source_Data_Figure_1_Panel_A.tsv	results/tables/revision/stage2_genetic/gwas_qc_manifest.tsv;results/tables/revision/stage2_genetic/magma_output_audit.tsv	yes	gwas_qc_manifest.tsv:26;magma_output_audit.tsv:1	gwas_qc_manifest.tsv:5;magma_output_audit.tsv:22	ready_for_packaging_pending_final_format	yes	1000G EUR LD limitation displayed. Schematic source/provenance only; no plotted quantitative source data. Figure 1 v0.2 retains this locked source mapping. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 1	B	Source_Data_Figure_1_Panel_B.tsv	results/tables/revision/stage3R_gene_tiering/evidence_model_summary_counts_v0.2.tsv;results/tables/revision/stage2_genetic/twas_one_snp_model_audit.tsv;results/tables/revision/stage3R_gene_tiering/curated_exemplar_panel_v0.2.tsv	yes	evidence_model_summary_counts_v0.2.tsv:8;twas_one_snp_model_audit.tsv:5989;curated_exemplar_panel_v0.2.tsv:6	evidence_model_summary_counts_v0.2.tsv:8;twas_one_snp_model_audit.tsv:11;curated_exemplar_panel_v0.2.tsv:16	ready_for_packaging_pending_final_format	yes	Curated exemplars displayed as an independent interpretive flag. Schematic source/provenance only; no plotted quantitative source data. Figure 1 v0.2 retains this locked source mapping. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 1	C	Source_Data_Figure_1_Panel_C.tsv	results/tables/revision/stage4B2_scrna_robustness/loop_tal_claim_decision_table.tsv	yes	loop_tal_claim_decision_table.tsv:7	loop_tal_claim_decision_table.tsv:8	ready_for_packaging_pending_final_format	yes	Four donors and partial matched-random support displayed. Schematic source/provenance only; no plotted quantitative source data. Figure 1 v0.2 retains this locked source mapping. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 1	D	Source_Data_Figure_1_Panel_D.tsv	results/tables/revision/stage5C1_gse73680_figure4_draft/gse73680_final_claim_lock_stage5C1.tsv	yes	gse73680_final_claim_lock_stage5C1.tsv:7	gse73680_final_claim_lock_stage5C1.tsv:6	ready_for_packaging_pending_final_format	yes	Visual taper communicates attenuation after adjustment. Schematic source/provenance only; no plotted quantitative source data. Figure 1 v0.2 retains this locked source mapping. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 1	E	Source_Data_Figure_1_Panel_E.tsv	results/tables/revision/stage6C_spatial_twas_figure5_draft/spatial_twas_final_claim_lock_stage6C.tsv	yes	spatial_twas_final_claim_lock_stage6C.tsv:9	spatial_twas_final_claim_lock_stage6C.tsv:6	ready_for_packaging_pending_final_format	yes	No-lesion-ROI boundary and Kidney_Cortex proxy displayed. Schematic source/provenance only; no plotted quantitative source data. Figure 1 v0.2 retains this locked source mapping. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 1	F	Source_Data_Figure_1_Panel_F.tsv	results/tables/revision/stage7A_manuscript_integration_blueprint/integrated_evidence_hierarchy_v0.1.tsv	yes	integrated_evidence_hierarchy_v0.1.tsv:8	integrated_evidence_hierarchy_v0.1.tsv:9	ready_for_packaging_pending_final_format	yes	No serial validation or causal labels. Schematic source/provenance only; no plotted quantitative source data. Figure 1 v0.2 retains this locked source mapping. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 2	A	Source_Data_Figure_2_Panel_A.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelA_source.tsv	yes	figure2_panelA_source.tsv:6	figure2_panelA_source.tsv:6	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 2	B	Source_Data_Figure_2_Panel_B.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelB_source.tsv	yes	figure2_panelB_source.tsv:92	figure2_panelB_source.tsv:17	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 2	C	Source_Data_Figure_2_Panel_C.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelC_source.tsv	yes	figure2_panelC_source.tsv:16	figure2_panelC_source.tsv:14	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 2	D	Source_Data_Figure_2_Panel_D.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelD_source.tsv	yes	figure2_panelD_source.tsv:16	figure2_panelD_source.tsv:12	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 2	E	Source_Data_Figure_2_Panel_E.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelE_source.tsv	yes	figure2_panelE_source.tsv:4	figure2_panelE_source.tsv:19	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
