source_component	source_path	module_name	n_genes_input	n_genes_detected	detected_fraction	module_status	n_paired_patients	mean_control_or_adjacent	mean_plaque_or_stone_papilla	paired_delta	p_value	method	fdr	interpretation	observed_delta	n_random	empirical_p	percentile	benchmark_interpretation	random_delta_mean	random_delta_sd	expression_matched_percentile	original_n_genes	n_p1_removed	n_genes_remaining	original_effect	effect_without_p1	p_value_without_p1	random_benchmark_percentile_without_p1	empirical_p_without_p1	fdr_without_p1	feature_type	module_or_gene	n_positive_delta	n_negative_delta	positive_fraction	median_delta	sign_test_p
paired_module	results/gse73680/tables/gse73680_patient_level_module_response.tsv	P1_core_TAL_candidates	6	6	1	full_module	26	-0.0936222107812237	0.0965006284470542	0.190122839228278	0.255977619873486	patient_level_paired_t_test_module_score	0.298640556519067	no detectable patient-level paired module difference																								
paired_module	results/gse73680/tables/gse73680_patient_level_module_response.tsv	MAGMA_top50	50	45	0.9	full_module	26	-0.0901092542729326	0.0915291863255512	0.181638440598484	0.035660286299055	patient_level_paired_t_test_module_score	0.049924400818677	patient-level paired module support																								
paired_module	results/gse73680/tables/gse73680_patient_level_module_response.tsv	MAGMA_top100	100	91	0.91	full_module	26	-0.0839195965239352	0.0845632236425926	0.168482820166528	0.0315943027916658	patient_level_paired_t_test_module_score	0.049924400818677	patient-level paired module support																								
paired_module	results/gse73680/tables/gse73680_patient_level_module_response.tsv	MAGMA_FDR	366	333	0.909836065573771	full_module	26	-0.0862470334497481	0.0866256564305383	0.172872689880286	0.0192493403520039	patient_level_paired_t_test_module_score	0.049924400818677	patient-level paired module support																								
paired_module	results/gse73680/tables/gse73680_patient_level_module_response.tsv	MAGMA_suggestive	186	164	0.881720430107527	full_module	26	-0.0852231451865975	0.0894842829519068	0.174707428138504	0.0237463705535705	patient_level_paired_t_test_module_score	0.049924400818677	patient-level paired module support																								
paired_module	results/gse73680/tables/gse73680_patient_level_module_response.tsv	TAL_marker_set	7	7	1	full_module	26	0.00186458563220396	0.00517111382848395	0.00330652819627998	0.984925432220437	patient_level_paired_t_test_module_score	0.984925432220437	no detectable patient-level paired module difference																								
paired_module	results/gse73680/tables/gse73680_patient_level_module_response.tsv	injury_remodeling_marker_set	12	12	1	full_module	26	-0.113758907071346	0.128571020160542	0.242329927231887	0.0174144316591631	patient_level_paired_t_test_module_score	0.049924400818677	patient-level paired module support																								
size_matched_benchmark	results/gse73680/tables/gse73680_random_module_benchmark.tsv	P1_core_TAL_candidates		6											0.194277560033305	1000	0.161	0.839	not stronger than random background	0.110682599882101	0.0873086557621775																	
size_matched_benchmark	results/gse73680/tables/gse73680_random_module_benchmark.tsv	MAGMA_top50		45											0.183504611573756	1000	0.007	0.993	module response exceeds random expectation	0.108385063500574	0.0304670051657605																	
size_matched_benchmark	results/gse73680/tables/gse73680_random_module_benchmark.tsv	MAGMA_top100		91											0.169116173749595	1000	0.003	0.997	module response exceeds random expectation	0.107708622062746	0.0222059650424568																	
size_matched_benchmark	results/gse73680/tables/gse73680_random_module_benchmark.tsv	MAGMA_FDR		333											0.17312777274497	1000	0	1	module response exceeds random expectation	0.107760260399454	0.011201198018081																	
size_matched_benchmark	results/gse73680/tables/gse73680_random_module_benchmark.tsv	MAGMA_suggestive		164											0.174278147155598	1000	0	1	module response exceeds random expectation	0.108588607720822	0.0159384572550505																	
expression_matched_sensitivity	results/gse73680/tables/gse73680_expression_matched_random_benchmark.tsv	P1_core_TAL_candidates		6										may_reflect_expression_level_background	0.190122839228278	1000	0.501			0.201456965281324	0.112784045366096	0.499																
expression_matched_sensitivity	results/gse73680/tables/gse73680_expression_matched_random_benchmark.tsv	MAGMA_top50		45										may_reflect_expression_level_background	0.181146895677903	1000	0.384			0.169377238222208	0.043997671450842	0.616																
expression_matched_sensitivity	results/gse73680/tables/gse73680_expression_matched_random_benchmark.tsv	MAGMA_top100		91										may_reflect_expression_level_background	0.167396879919463	1000	0.428			0.16445365778777	0.030022704776564	0.572																
