source_component	source_path	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	gene_set	topic_priority	display_priority	redundancy_reduced_keep	overlap	query_size	term_size	universe_size	p_value	overlap_genes	term	fdr	enrichment_ratio	interpretation
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0072070	loop of Henle development	3/89	10/15421	0.3	51.9808988764045	12.2865474775453	2.16563014510944e-05	0.029104461602929	0.0267345592009102	UMOD/PKD2/AQP1	3	MAGMA_top100	TRUE	theme_relevant	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0072017	distal tubule development	3/89	11/15421	0.272727272727273	47.2553626149132	11.6921639912141	2.96530428965145e-05	0.029104461602929	0.0267345592009102	TFAP2B/UMOD/PKD2	3	MAGMA_top100	TRUE	theme_relevant	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0033280	response to vitamin D	4/89	35/15421	0.114285714285714	19.8022471910112	8.48435244402098	4.73384729111257e-05	0.0309751407748466	0.0284529137181608	CASR/ALPL/PTGS2/MED1	4	MAGMA_top100	TRUE	theme_relevant	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0010038	response to metal ion	9/89	317/15421	0.028391167192429	4.91932796937582	5.37196326628898	8.78905619350752e-05	0.0431322932696382	0.0396201401565221	CASR/SLC30A10/SLC34A1/PTGS2/GIPR/PKD2/MAPT/AQP1/CPNE8	9	MAGMA_top100	TRUE	theme_relevant	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0033273	response to vitamin	5/89	84/15421	0.0595238095238095	10.313670411985	6.52120847638964	0.000123290496434051	0.0465942470200187	0.0428001958041087	CASR/ALPL/SLC34A1/PTGS2/MED1	5	MAGMA_top100	FALSE	other_functional_context	FALSE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0010288	response to lead ion	3/89	18/15421	0.166666666666667	28.8782771535581	9.016485966388	0.000142417464146771	0.0465942470200187	0.0428001958041087	SLC34A1/PTGS2/MAPT	3	MAGMA_top100	TRUE	theme_relevant	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0055062	phosphate ion homeostasis	3/89	19/15421	0.157894736842105	27.3583678296866	8.75879859607873	0.000168415681972721	0.0472285691017788	0.0433828666495145	UMOD/ALPL/SLC34A1	3	MAGMA_top100	TRUE	theme_relevant	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0072234	metanephric nephron tubule development	3/89	20/15421	0.15	25.9904494382023	8.52025100151836	0.000197310269307531	0.0484150073313355	0.044472696226816	UMOD/PKD2/AQP1	3	MAGMA_top100	TRUE	theme_relevant	FALSE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0007584	response to nutrient	6/89	152/15421	0.0394736842105263	6.83959195742164	5.51234997840306	0.000246224624353347	0.0518870895320143	0.0476620555907127	CASR/ALPL/SLC34A1/PTGS2/GIPR/MED1	6	MAGMA_top100	FALSE	other_functional_context	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0072170	metanephric tubule development	3/89	22/15421	0.136363636363636	23.6276813074566	8.09175862186928	0.000264325468833491	0.0518870895320143	0.0476620555907127	UMOD/PKD2/AQP1	3	MAGMA_top100	TRUE	theme_relevant	FALSE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0072243	metanephric nephron epithelium development	3/89	23/15421	0.130434782608696	22.600390815828	7.8982550558706	0.000302708222748362	0.0540196582959122	0.0496209746954971	UMOD/PKD2/AQP1	3	MAGMA_top100	TRUE	theme_relevant	FALSE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0035904	aorta development	4/89	60/15421	0.0666666666666667	11.5513108614232	6.23892958238499	0.000394998011075451	0.0646150913117592	0.0593536485063375	TBX2/TFAP2B/PKD2/SNX17	4	MAGMA_top100	FALSE	other_functional_context	TRUE										
go_terms	results/tables/go_bp_redundancy_reduced_terms.tsv	GO:0072207	metanephric epithelium development	3/89	26/15421	0.115384615384615	19.9926534140017	7.38448572646951	0.000438877862088667	0.0662705571753887	0.0608743139884929	UMOD/PKD2/AQP1	3	MAGMA_top100	FALSE	other_functional_context	FALSE										
