source_component	source_path	donor_id	sample_id	disease_status	broad_cell_type	n_cells	n_donors	n_samples	median_nCount_RNA	median_nFeature_RNA	median_percent_mt	metric	value
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290910	GSM7290910	healthy_control	Collecting_duct_principal	6318							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290910	GSM7290910	healthy_control	Endothelial	271							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290910	GSM7290910	healthy_control	Fibroblast_stromal	902							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290910	GSM7290910	healthy_control	Injured_undifferentiated_epithelial	566							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290910	GSM7290910	healthy_control	Loop_of_Henle_TAL	29							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290910	GSM7290910	healthy_control	Pericyte_smooth_muscle	113							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290912	GSM7290912	healthy_control	Collecting_duct_principal	16248							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290912	GSM7290912	healthy_control	Endothelial	810							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290912	GSM7290912	healthy_control	Fibroblast_stromal	1733							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290912	GSM7290912	healthy_control	Injured_undifferentiated_epithelial	55							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290912	GSM7290912	healthy_control	Loop_of_Henle_TAL	244							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290912	GSM7290912	healthy_control	Pericyte_smooth_muscle	14							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290913	GSM7290913	stone_disease	Collecting_duct_principal	1385							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290913	GSM7290913	stone_disease	Endothelial	305							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290913	GSM7290913	stone_disease	Fibroblast_stromal	761							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290913	GSM7290913	stone_disease	Injured_undifferentiated_epithelial	1727							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290913	GSM7290913	stone_disease	Loop_of_Henle_TAL	263							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290913	GSM7290913	stone_disease	Pericyte_smooth_muscle	21							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290914	GSM7290914	stone_disease	Collecting_duct_principal	10898							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290914	GSM7290914	stone_disease	Endothelial	1172							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290914	GSM7290914	stone_disease	Fibroblast_stromal	26							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290914	GSM7290914	stone_disease	Injured_undifferentiated_epithelial	13							
donor_cell_counts	results/tables/gse231569_donor_cell_counts.tsv	GSM7290914	GSM7290914	stone_disease	Loop_of_Henle_TAL	4							
cell_type_counts	results/tables/gse231569_cell_counts.tsv				Collecting_duct_principal	34849	4	4	1994	1314	2.24447061902892		
cell_type_counts	results/tables/gse231569_cell_counts.tsv				Fibroblast_stromal	3422	4	4	3782.5	2003	0.914868208212704		
cell_type_counts	results/tables/gse231569_cell_counts.tsv				Endothelial	2558	4	4	3428	2016.5	1.33888323186615		
cell_type_counts	results/tables/gse231569_cell_counts.tsv				Injured_undifferentiated_epithelial	2361	4	4	865	636	3.27868852459016		
cell_type_counts	results/tables/gse231569_cell_counts.tsv				Loop_of_Henle_TAL	540	4	4	5274.5	2815	0.735642574337427		
cell_type_counts	results/tables/gse231569_cell_counts.tsv				Pericyte_smooth_muscle	148	3	3	5563.5	2612.5	0.63066296645845		
qc_summary	results/tables/phase1_gse231569_qc_summary.tsv											cells_before_qc	46262
qc_summary	results/tables/phase1_gse231569_qc_summary.tsv											features	30940
qc_summary	results/tables/phase1_gse231569_qc_summary.tsv											cells_after_qc	43878
qc_summary	results/tables/phase1_gse231569_qc_summary.tsv											median_nFeature_RNA	1458
qc_summary	results/tables/phase1_gse231569_qc_summary.tsv											median_nCount_RNA	2299
qc_summary	results/tables/phase1_gse231569_qc_summary.tsv											median_percent_mt	1.89344962945136
