source_component	source_path	cluster	current_phase1_cell_type	grouping	candidate_cell_type	marker_genes_requested	marker_genes_present	n_markers_present	mean_marker_expression	pct_cells_with_any_marker	n_cells	top_immune_marker_set	top_immune_mean_marker_expression	top_immune_pct_cells_with_any_marker	audit_flag	immune_review_flag	confidence	group
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	0	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.59618703124008	0.934855899945623	9195	Macrophage_myeloid	0.132896659517024	0.219575856443719	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	1	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	0.900544098924996	0.650358896864375	5294	Macrophage_myeloid	0.106347570121553	0.173592746505478	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	10	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.07266319596066	0.987540983606557	1525	Macrophage_myeloid	0.00410166844873839	0.0183606557377049	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	11	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	0.934075802148853	0.929492691315563	1163	Macrophage_myeloid	0.0740018500587491	0.267411865864144	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	12	Fibroblast_stromal	seurat_cluster	Fibroblast_stromal	DCN,LUM,COL1A1,COL1A2	DCN,LUM,COL1A1,COL1A2	4	0.964783018775792	0.8837890625	1024	Macrophage_myeloid	0.0486016061758828	0.1396484375	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	13	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.26188317453102	0.994944388270981	989	Macrophage_myeloid	0.0161149421688791	0.0819009100101112	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	14	Endothelial	seurat_cluster	Endothelial	PECAM1,VWF,KDR,EMCN	PECAM1,VWF,KDR,EMCN	4	1.22138964290204	0.965770171149144	818	Macrophage_myeloid	0.0673850858044078	0.23838630806846	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	15	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.33761521319313	0.973846153846154	650	Mast_cell	0.215446308541299	0.418461538461538	phase1_label_consistent_with_top_marker_set	immune_marker_signal_requires_manual_review	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	16	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.5212504683087	0.993453355155483	611	Macrophage_myeloid	0.0427245957889247	0.168576104746318	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	17	Injured_undifferentiated_epithelial	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	0.345828832962762	0.569747899159664	595	Macrophage_myeloid	0.0322873911018668	0.117647058823529	marker_top_label_differs_from_phase1	no_strong_cluster_level_immune_signal	medium_high	
