record_type	packaging_source_file	donor_id	sample_id	compartment	n_nuclei	percent_within_donor	notes	module_name	loop_tal_mean_score	other_compartments_mean_score	loop_tal_minus_other	loop_tal_rank_within_donor	n_loop_tal_nuclei	n_other_nuclei	donor_subset	statistic_name	n_observed_genes_used	n_random_sets_successful	observed_value	random_median	random_p025	random_p975	observed_minus_random_median	observed_percentile	empirical_p_one_sided	benchmark_support_class	full_4_donor_value	exclude_GSM7290914_value	donors_loop_tal_ge20_value	donors_loop_tal_ge50_value	interpretation	original_value	driver_removed_value	absolute_change	percent_change	n_driver_removed_genes_used
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290910	GSM7290910	Collecting_duct_principal	6318	77.0582																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290910	GSM7290910	Endothelial	271	3.3053																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290910	GSM7290910	Fibroblast_stromal	902	11.0013																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	6.9033																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	0.3537	Loop/TAL compartment.																													
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	1.3782																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290912	GSM7290912	Collecting_duct_principal	16248	85.0503																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290912	GSM7290912	Endothelial	810	4.2399																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290912	GSM7290912	Fibroblast_stromal	1733	9.0714																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	0.2879																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	1.2772	Loop/TAL compartment.																													
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	0.0733																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290913	GSM7290913	Collecting_duct_principal	1385	31.0399																														
donor_compartment_count	results/tables/phase2_step2_donor_compartment_counts.tsv	GSM7290913	GSM7290913	Endothelial	305	6.8355																														
