source_component	source_path	gene_id	gene_symbol	gene_name	chr	start	stop	n_snps	nparam	n	zstat	p	fdr	rank	bonferroni_significant	suggestive	gene_set	n_genes	TAL_percentile	top_celltype	top_celltype_percentile	evidence_class	locus_balanced_TAL_percentile_full	locus_balanced_TAL_percentile_conservative	leave_one_locus_out_min_TAL_percentile	interpretation
gene_results	results/tables/magma_genes.tsv	6909	TBX2	T-box transcription factor 2	17	59477257	59486827	14	2	937072	7.7104	6.2728e-15	7.25730876e-11	1	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	10960	LMAN2	lectin, mannose binding 2	5	176758563	176778885	14	2	949838	7.6733	8.3822e-15	7.25730876e-11	2	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	5731	PTGER1	prostaglandin E receptor 1	19	14583278	14586174	7	3	949838	7.5435	2.2871e-14	1.32011412e-10	3	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	8527	DGKD	diacylglycerol kinase delta	2	234263149	234380744	170	19	960202	7.4487	4.7129e-14	2.04021441e-10	4	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	8208	CHAF1B	chromatin assembly factor 1 subunit B	21	37757689	37789125	25	6	932476	7.3499	9.9198e-14	3.435425136e-10	5	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	11112	HIBADH	3-hydroxyisobutyrate dehydrogenase	7	27565059	27702620	220	10	955643	7.3148	1.2884e-13	3.7183224e-10	6	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	204474	PDILT	protein disulfide isomerase like, testis expressed	16	20370492	20416064	83	11	949530	7.2609	1.9224e-13	4.75546834285714e-10	7	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	7021	TFAP2B	transcription factor AP-2 beta	6	50786439	50815326	42	8	943172	7.0875	6.8295e-13	1.34145128e-09	8	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	7368	UGT8	UDP glycosyltransferase 8	4	115519611	115598202	46	6	952620	7.0846	6.9722e-13	1.34145128e-09	9	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	846	CASR	calcium sensing receptor	3	121902530	122005350	288	20	954450	7.0283	1.0453e-12	1.81004148e-09	10	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	55328	RNLS	renalase, FAD dependent amine oxidase	10	90033621	90343611	472	34	958880	7.0132	1.1644e-12	1.83297730909091e-09	11	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	160851	DGKH	diacylglycerol kinase eta	13	42614172	42804352	492	32	958038	6.8724	3.1566e-12	4.5549738e-09	12	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	84182	MINDY4	MINDY lysine 48 deubiquitinase 4	7	30811033	30932408	296	21	959671	6.8515	3.6551e-12	4.8685932e-09	13	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	84226	SPATA31H1	SPATA31 subfamily H member 1	2	27799389	27805589	4	2	975370	6.787	5.726e-12	7.02614016e-09	14	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	23562	CLDN14	claudin 14	21	37832919	37948867	293	24	962909	6.7781	6.0864e-12	7.02614016e-09	15	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	55532	SLC30A10	solute carrier family 30 member 10	1	220087606	220101993	20	5	966434	6.7628	6.7666e-12	7.32315285e-09	16	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	6295	SAG	S-antigen visual arrestin	2	234216309	234255701	98	15	956353	6.4208	6.776e-11	6.90195388235294e-08	17	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	10636	RGS14	regulator of G protein signaling 14	5	176784704	176799599	13	3	975370	6.3781	8.9644e-11	8.6237528e-08	18	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	9071	CLDN10	claudin 10	13	96085853	96232010	366	22	960791	6.3608	1.0033e-10	9.14375936842105e-08	19	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	84450	ZNF512	zinc finger protein 512	2	27805836	27846082	39	4	952456	6.3319	1.2108e-10	1.04831064e-07	20	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	7369	UMOD	uromodulin	16	20344373	20364200	30	4	909837	6.2764	1.7321e-10	1.42824017142857e-07	21	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	2646	GCKR	glucokinase regulator	2	27719470	27746556	20	3	957497	6.2559	1.9757e-10	1.55505550909091e-07	22	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	249	ALPL	alkaline phosphatase, biomineralization associated	1	21835475	21904905	173	21	947638	6.1094	5e-10	3.4632e-07	23	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	6569	SLC34A1	solute carrier family 34 member 1	5	176811432	176825849	11	2	935925	6.1094	5e-10	3.4632e-07	24	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	9553	MRPL33	mitochondrial ribosomal protein L33	2	27994584	28002608	3	1	975370	6.1094	5e-10	3.4632e-07	25	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	5743	PTGS2	prostaglandin-endoperoxide synthase 2	1	186640944	186649559	11	3	912727	6.0245	8.4817e-10	5.6488122e-07	26	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	161882	ZFPM1	zinc finger protein, FOG family member 1	16	88520014	88601574	191	24	943555	5.9908	1.0439e-09	6.69487866666667e-07	27	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	22950	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	2	27886338	27917847	9	2	915795	5.9332	1.485e-09	9.18366428571429e-07	28	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	51755	CDK12	cyclin dependent kinase 12	17	37617739	37721398	102	4	961352	5.9003	1.8139e-09	1.08308594482759e-06	29	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	84961	FBXL20	F-box and leucine rich repeat protein 20	17	37408897	37558530	182	5	961622	5.8552	2.3822e-09	1.37500584e-06	30	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	2696	GIPR	gastric inhibitory polypeptide receptor	19	46171490	46185717	13	4	920377	5.7867	3.5899e-09	2.00524865806452e-06	31	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	5469	MED1	mediator complex subunit 1	17	37560538	37607527	50	3	936050	5.7006	5.9689e-09	3.2299210125e-06	32	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	9884	LRRC37A	leucine rich repeat containing 37A	17	44316744	44415160	29	5	833622	5.6943	6.1946e-09	3.25047556363636e-06	33	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	57619	SHROOM3	shroom family member 3	4	77356253	77704406	650	43	959897	5.6809	6.6992e-09	3.41186315294118e-06	34	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	22873	DZIP1	DAZ interacting zinc finger protein 1	13	96230456	96296960	48	10	955698	5.6538	7.8452e-09	3.88135666285714e-06	35	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	84798	C19orf48P	multidrug resistance-related protein	19	51300961	51307974	29	6	944555	5.6402	8.4939e-09	4.0855659e-06	36	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	5311	PKD2	polycystin 2, transient receptor potential cation channel	4	88928799	88998931	83	14	955069	5.5668	1.2973e-08	5.91979357894737e-06	37	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	11078	TRIOBP	TRIO and F-actin binding protein	22	38092995	38172563	74	6	951218	5.5666	1.2991e-08	5.91979357894737e-06	38	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	64080	RBKS	ribokinase	2	28004266	28113223	76	3	968315	5.551	1.4199e-08	6.3025911e-06	39	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	8645	KCNK5	potassium two pore domain channel subfamily K member 5	6	39156747	39197251	94	17	958533	5.5467	1.4559e-08	6.3025911e-06	40	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	83463	MXD3	MAX dimerization protein 3	5	176732501	176741096	11	4	959122	5.5037	1.8593e-08	7.85259482926829e-06	41	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	10138	YAF2	YY1 associated factor 2	12	42550906	42632154	82	9	956069	5.4422	2.6309e-08	1.08468248571429e-05	42	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	284058	KANSL1	KAT8 regulatory NSL complex subunit 1	17	44107282	44302740	444	4	907582	5.3796	3.7331e-08	1.4580072e-05	43	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	8934	RAB29	RAB29, member RAS oncogene family	1	205737114	205744615	22	5	902255	5.3785	3.7546e-08	1.4580072e-05	44	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	246744	STH	saitohin	17	44076616	44077060	1	1	898925	5.3769	3.789e-08	1.4580072e-05	45	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	388407	LINC02875	long intergenic non-protein coding RNA 2875	17	59489112	59490641	2	1	975370	5.3473	4.4648e-08	1.6807060173913e-05	46	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	28972	SPCS1	signal peptidase complex subunit 1	3	52739792	52742198	1	1	975370	5.3427	4.578e-08	1.68265579591837e-05	47	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	4137	MAPT	microtubule associated protein tau	17	43971702	44105700	463	4	908436	5.3379	4.7004e-08	1.68265579591837e-05	48	TRUE	TRUE										
