gene	genetic_priority_level	twas_proxy_level	reporting_group	claim_strength_level	curated_exemplar_flag	biological_role_label	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	known_kidney_transport_or_calcium_gene	allowed_claim	disallowed_claim	overclaim_risk	decision_rule_applied	decision_notes	dominant_scrna_compartment	loop_tal_expression_detected	loop_tal_detection_fraction	loop_tal_mean_expression	scrna_detected	snrna_context_label	stage4B1_claim_modifier	stage4B1_notes	random_benchmark_support	driver_removal_relevance	driver_removal_support	loop_tal_context_final_support	stage4B2_claim_modifier	stage4B2_notes
ACP4	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	94	2.7396e-06	0.000504669293617021	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
ADD3	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	247	0.0002853	0.0199846190322581	no	NA_not_found	NA_not_found	0.0205434986446679	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
AIF1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	60	1.2662e-07	3.6542532e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
ALPL	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	23	5e-10	3.4632e-07	yes	KSD_L001	rs1936824	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	Loop_of_Henle_TAL	TRUE	0.00925925925925926	0.0174362941004665	TRUE	Loop/TAL-associated	supports_loop_tal_context	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	moderate_context_support	supports_robust_loop_tal_context	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
ANKRD6	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	284	0.00046679	0.0284610409859155	no	NA_not_found	NA_not_found	0.0485692005624065	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
AP1S3	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	66	1.8096e-07	4.73657211940299e-05	yes	""	""	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
AQP1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	55	1.0263e-07	3.2311656e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
ARL15	G3_MAGMA_suggestive_or_module	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	3029	0.082669	0.472213543026706	no	NA_not_found	NA_not_found	0.0186184809983688	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
ARPC2	G2_MAGMA_FDR_nonBonferroni	T1_multi_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	280	0.00045427	0.0280933547142857	no	NA_not_found	NA_not_found	0.0322515790633361	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
ASCC3	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	58	1.2019e-07	3.55682379661017e-05	yes	KSD_L052	rs239208	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
