gene	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	nearest_locus_distance	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	current_exemplar_gene	known_kidney_transport_or_calcium_gene	ready_for_tier_assignment	notes
ACP4	MAGMA	94	2.7396e-06	0.000504669293617021	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ADD3	MAGMA;TWAS_FDR	247	0.0002853	0.0199846190322581	no	NA_not_found	NA_not_found	NA_not_found	0.0205434986446679	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
AIF1	MAGMA	60	1.2662e-07	3.6542532e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ALPL	MAGMA	23	5e-10	3.4632e-07	yes	KSD_L001	rs1936824	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ANKRD6	MAGMA;TWAS_FDR	284	0.00046679	0.0284610409859155	no	NA_not_found	NA_not_found	NA_not_found	0.0485692005624065	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
AP1S3	MAGMA	66	1.8096e-07	4.73657211940299e-05	yes			NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
AQP1	MAGMA	55	1.0263e-07	3.2311656e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ARL15	MAGMA;TWAS_FDR	3029	0.082669	0.472213543026706	no	NA_not_found	NA_not_found	NA_not_found	0.0186184809983688	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ARPC2	MAGMA;TWAS_FDR	280	0.00045427	0.0280933547142857	no	NA_not_found	NA_not_found	NA_not_found	0.0322515790633361	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ASCC3	MAGMA	58	1.2019e-07	3.55682379661017e-05	yes	KSD_L052	rs239208	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ATG16L1	MAGMA	65	1.5922e-07	4.2416208e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ATP6V1G2	MAGMA	81	1.1882e-06	0.000254010755555556	yes	NA_not_found	NA_not_found	NA_not_found	0.819162150220141	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
BAG6	MAGMA	75	6.8111e-07	0.0001572546768	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
BNIP1	MAGMA	68	2.6597e-07	6.77284782352941e-05	yes			NA_not_found	0.163098348511685	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
C19orf48P	MAGMA	36	8.4939e-09	4.0855659e-06	yes	KSD_L028;KSD_L029		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
C6orf48	TWAS_FDR	NA_not_found	NA_not_found	NA_not_found	no	NA_not_found	NA_not_found	NA_not_found	0.000154176815038531	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CASR	current_curated_exemplar;MAGMA;coloc_resource_row	10	1.0453e-12	1.81004148e-09	yes	KSD_L039	rs2202126	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CDK12	MAGMA;coloc_resource_row	29	1.8139e-09	1.08308594482759e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CFDP1	MAGMA	91	1.9537e-06	0.0003717612	yes			NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CHAC1	MAGMA;TWAS_FDR	1606	0.029129	0.314070836861768	no	NA_not_found	NA_not_found	NA_not_found	0.0365693698553539	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CHAF1B	MAGMA;coloc_resource_row	5	9.9198e-14	3.435425136e-10	yes	KSD_L035		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CLDN10	current_curated_exemplar;MAGMA;coloc_resource_row	19	1.0033e-10	9.14375936842105e-08	yes	KSD_L012;KSD_L013		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CLDN14	current_curated_exemplar;MAGMA;coloc_resource_row	15	6.0864e-12	7.02614016e-09	yes	KSD_L035		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CPNE8	MAGMA	67	1.8327e-07	4.73657211940299e-05	yes	NA_not_found	NA_not_found	NA_not_found	0.595866336040236	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
CRHR1	MAGMA;TWAS_FDR	50	6.0409e-08	2.05765009411765e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	6.84154826796491e-05	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
DDAH2	MAGMA;TWAS_FDR	266	0.00037854	0.0246421001503759	no	NA_not_found	NA_not_found	NA_not_found	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
DGKD	MAGMA	4	4.7129e-14	2.04021441e-10	yes	KSD_L030;KSD_L031;KSD_L032;KSD_L033		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
DGKH	MAGMA	12	3.1566e-12	4.5549738e-09	yes	KSD_L012	rs1170158	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
DHX16	MAGMA;TWAS_FDR	278	0.00044038	0.027430288057554	no	NA_not_found	NA_not_found	NA_not_found	0.0365693698553539	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
