priority_id	gene	locus	chr	start	end	lead_snp	magma_rank	magma_p	twas_status	eqtl_resource_available	gwas_region_available	ld_reference_available	allele_harmonization_possible	coloc_ready	smr_ready	blocking_issue	recommended_next_action
P001	CLDN14	KSD_L035	21	36818871	38818871		15	6.0864e-12	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P002	CASR	KSD_L039	3	120942812	122942812	rs2202126	10	1.0453e-12	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P003	CLDN10	KSD_L012;KSD_L013	13	41701941	43701941		19	1.0033e-10	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P004	HIBADH	KSD_L054	7	26697939	28697939	rs42085	6	1.2884e-13	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P005	PKD2	KSD_L040;KSD_L041;KSD_L042;KSD_L043	4	2744294	4744294		37	1.2973e-08	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P006	UMOD	KSD_L018	16	19392332	21392332	rs77924615	21	1.7321e-10	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P007	TBX2	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027	17	11326095	13326095		1	6.2728e-15	FDR_supported	resource_incomplete	yes	yes	unclear	no	no	eQTL/SMR-coloc claim-grade resources incomplete	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P008	LMAN2	KSD_L044;KSD_L045;KSD_L046	5	50163584	52163584		2	8.3822e-15	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL/SMR-coloc claim-grade resources incomplete	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P009	PTGER1	KSD_L028	19	13588237	15588237	rs3760702	3	2.2871e-14	FDR_supported	resource_incomplete	yes	yes	unclear	no	no	eQTL/SMR-coloc claim-grade resources incomplete	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P010	DGKD	KSD_L030;KSD_L031;KSD_L032;KSD_L033	2	15733928	17733928		4	4.7129e-14	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL/SMR-coloc claim-grade resources incomplete	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P011	CHAF1B	KSD_L035	21	36818871	38818871		5	9.9198e-14	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
P012	PDILT	KSD_L018	16	19392332	21392332	rs77924615	7	1.9224e-13	NA_not_found	resource_incomplete	yes	yes	unclear	no	no	eQTL resource missing; case fraction not yet documented; variant/build harmonization pending	Prepare claim-grade eQTL/LD harmonized inputs; do not treat incomplete resources as negative evidence
